,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2010-12-31,332499.00800000003,186223.008,4065.0,0.0,111673.0,54936.0,0.0,7359.0,0.0,8190.0,4569.0,2094.0,0.0,1602.0,0.0,0.0,873.0,0.0,0.0,0.0,0.0,10844.0,130863.0,0.0,332499.00800000003,56207.0,11884.0,3468.0,3463.0,6072.0,0.0,0.0,31320.0,0.0,0.0,143792.992,86770.0,0.0,1509.0,22413.0,0.0,33101.0,0.0,0.0,0.0,132499.0,113310.0,43.0,0.0,34701.0,0.0,-15555.0,0.0,0.0,0.0
2011-03-31,343.651,194.957,9.815,0.188,95.15299999999999,72.081,0.0,9.62,0.0,8.1,5.412000000000001,2.149,0.0,1.676,0.0,0.0,1.587,0.0,0.0,0.0,0.0,12.593,130.689,0.0,343.651,75.271,13.309000000000001,4.513,5.599,19.85,0.0,0.0,32.0,0.0,0.0,130.11,69.416,0.0,1.7890000000000001,25.211,0.0,33.694,0.0,0.0,0.0,138.27,113.31,0.043,0.0,34.701,5.771,-15.555,0.0,0.0,0.0
2011-06-30,369281.984,218020.992,8202.0,0.0,104843.0,83229.0,0.0,12460.0,0.0,9287.0,5903.0,2209.0,0.0,1747.0,0.0,0.0,1947.0,0.0,0.0,0.0,0.0,14568.0,130790.0,0.0,369281.984,155220.0,10631.0,5173.0,9167.0,20962.0,0.0,6230.0,103057.0,0.0,0.0,63736.0,0.0,0.0,1870.0,27995.0,0.0,33871.0,0.0,0.0,0.0,150326.0,119203.0,43.0,0.0,22181.0,25203.0,-16304.0,0.0,0.0,0.0
2011-09-30,437264.0,267144.0,66461.0,0.0,93330.0,97684.0,0.0,4251.0,0.0,5418.0,20934.0,2298.0,0.0,0.0,0.0,0.0,1627.0,0.0,0.0,17009.0,0.0,18468.0,130718.0,0.0,437264.0,37163.0,10755.0,4246.0,3486.0,365.0,0.0,0.0,18311.0,0.0,0.0,66841.0,0.0,0.0,1666.0,30777.0,0.0,34398.0,0.0,0.0,0.0,333260.0,121009.0,168595.008,0.0,22181.0,37536.0,-16061.0,0.0,0.0,0.0
2011-12-31,463584.992,287726.016,60854.0,8940.0,121551.0,83992.0,0.0,5947.0,0.0,6442.0,22323.0,2358.0,0.0,12282.0,0.0,0.0,3113.0,0.0,0.0,4570.0,0.0,22726.0,130810.0,0.0,463584.992,49629.0,12044.0,6470.0,3758.0,0.0,0.0,0.0,27357.0,0.0,0.0,47142.0,0.0,0.0,1158.0,33463.0,0.0,12521.0,0.0,0.0,0.0,366814.016,121009.0,179738.0,0.0,93460.0,0.0,-16373.0,0.0,-11020.0,0.0
2012-03-31,473983.008,296716.99199999997,71819.0,19126.0,109071.0,79414.0,0.0,6375.0,0.0,10912.0,22846.0,2416.0,0.0,12110.0,0.0,0.0,3750.0,0.0,0.0,4570.0,0.0,23843.0,130577.0,0.0,473983.008,45840.0,6884.0,4985.0,7082.0,0.0,0.0,6230.0,20659.0,0.0,0.0,50105.0,0.0,0.0,916.0,36245.0,0.0,12944.0,0.0,0.0,0.0,378038.016,121009.0,180088.0,0.0,93460.0,10874.0,-16373.0,0.0,-11020.0,0.0
2012-06-30,468108.0,289371.00800000003,69741.0,5169.0,116496.0,79044.0,0.0,8085.0,0.0,10836.0,22819.0,2466.0,1870.0,9813.0,0.0,0.0,3916.0,0.0,0.0,4754.0,0.0,25276.0,130642.0,0.0,468108.0,31821.0,10702.0,5068.0,6872.0,0.0,0.0,6266.0,2913.0,0.0,0.0,52272.0,0.0,0.0,717.0,39027.0,0.0,12528.0,0.0,0.0,0.0,384015.008,124166.0,180698.0,0.0,76971.0,29573.0,-16373.0,0.0,-11020.0,0.0
2012-09-30,492502.016,290204.0,36516.0,15336.0,109937.0,95587.0,0.0,12532.0,0.0,20296.0,18859.0,2459.0,1895.0,9750.0,0.0,0.0,0.0,0.0,0.0,4755.0,0.0,29659.0,153780.0,0.0,492502.016,41373.0,11273.0,11680.0,7780.0,0.0,0.0,6266.0,4374.0,0.0,0.0,53613.0,0.0,0.0,3691.0,38102.0,0.0,11820.0,0.0,0.0,0.0,397516.0,124166.0,181431.008,0.0,76971.0,42191.0,-16373.0,0.0,-10870.0,0.0
2012-12-31,505254.016,300559.00800000003,14664.0,0.0,149250.0,108149.0,0.0,9132.0,0.0,19364.0,18876.0,2501.0,0.0,11805.0,0.0,0.0,0.0,0.0,0.0,4570.0,0.0,31741.0,154078.0,0.0,505254.016,42515.0,11741.0,9539.0,4027.0,0.0,0.0,0.0,17208.0,0.0,0.0,54955.0,0.0,0.0,2901.0,41546.0,0.0,10508.0,0.0,0.0,0.0,407784.0,124547.0,181431.008,0.0,129049.0,0.0,-16373.0,0.0,-10870.0,0.0
2013-03-31,773924.9920000001,418516.0,34552.0,0.0,160668.0,182516.0,0.0,12223.0,0.0,28557.0,43822.0,27541.0,1938.0,9438.0,0.0,0.0,4570.0,0.0,0.0,335.0,0.0,41181.0,270406.016,0.0,773924.9920000001,272862.016,15922.0,10922.0,8252.0,215516.992,0.0,15036.0,7213.0,0.0,0.0,95307.0,0.0,0.0,27697.0,40961.0,0.0,26649.0,0.0,0.0,4340.0,401416.0,124547.0,182784.0,0.0,129049.0,-7721.0,-16373.0,0.0,-10870.0,0.0
