,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-06-30,1463965.0,573914.0,0.0,0.0,27059.0,,,12035.0,430455.01,0.0,1976.0,,,,8767.0,,,,,0.0,303411.0,498972.0,0.0,,1463965.0,76243.0,0.0,1133.0,0.0,8146.0,,0.0,40450.0,0.0,,-25533.0,161994.0,517608.0,64718.0,0.0,,0.0,,,2932.0,1149311.0,1174844.0,10843.0,,-1505.0,107.0,,,,,,,41222.0,0.0,2775.0,430455.01,107.0,,0.0,12088.0,0.0,0.0,0.0,23739.0,,,,-14069.0,9526.0,-1505.0,,,0.0,-15533.0
2007-09-30,2364209.0,346933.0,0.0,0.0,45835.0,,,10190.0,430455.01,0.0,80972.0,,,,8767.0,,,,,0.0,1236693.0,689511.0,0.0,,2364209.0,664575.0,0.0,2905.0,0.0,595800.0,,0.0,42535.0,0.0,,-38693.0,143609.0,263027.0,400610.0,0.0,,0.0,,,10498.0,1136150.0,1174843.0,7953.0,,-36.0,-331.0,,,,,,,59280.0,0.0,5848.0,430455.01,-331.0,,0.0,15431.0,0.0,0.0,0.0,17487.0,,,,-8975.0,17996.0,-36.0,,,0.0,-13160.0
2007-12-31,4804589.0,662850.0,17050.0,548986.0,60815.0,,,22934.0,509922.54,0.0,76652.0,,,,45989.0,,,,,0.0,3825605.0,13148.0,533.0,,4804589.0,164152.0,0.0,25451.0,0.0,59853.0,,0.0,0.0,796682.0,,1134233.0,775394.0,0.0,39421.0,533.0,,0.0,,,9425.0,2973526.0,1839293.0,6885.0,,36.0,55.0,,,,,,,75512.0,0.0,53435.0,509922.54,55.0,,0.0,25519.0,0.0,0.0,0.0,25413.0,,,,-32961.0,13844.0,36.0,,,0.0,-38218.0
2008-03-31,3260551.0,1088243.0,0.0,974838.0,47936.0,,,12168.0,509922.54,0.0,73521.0,,,,0.0,,,,,1857.0,577708.0,0.0,0.0,,3260551.0,188823.0,0.0,24367.0,0.0,77400.0,,0.0,49540.0,0.0,,-68546.0,1239306.0,18763.0,52510.0,0.0,,0.0,,,9165.0,1770747.0,1839293.0,12887.0,,-135.0,-316.0,,,,,,,66523.0,6683.0,4336.0,509922.54,-316.0,,0.0,13046.0,0.0,0.0,0.0,31323.0,,,,7356.0,13895.0,-135.0,,,0.0,357.0
2008-06-30,3287660.0,1009617.0,0.0,891403.0,53635.0,,,13722.0,512167.4,0.0,71398.0,,,,31244.0,,,,,2545.0,18316.0,0.0,0.0,,3287660.0,174266.0,0.0,7179.0,0.0,87629.0,,0.0,485.0,0.0,,-45867.0,1229342.0,20057.0,38960.0,0.0,,0.0,,,13462.0,1800386.0,1846253.0,6469.0,,270.0,-501.0,,,,,,,72242.0,5255.0,50162.0,512167.4,-501.0,,0.0,19299.0,0.0,0.0,0.0,26266.0,,,,-2155.0,12526.0,-271.0,,,0.0,-7911.0
2008-09-30,3273009.0,842470.0,0.0,740434.0,40402.0,,,14748.0,512167.4,0.0,69312.0,,,,33265.0,,,,,1200.0,17985.0,0.0,0.0,,3273009.0,146992.0,0.0,10049.0,0.0,67652.0,,0.0,0.0,0.0,,-95811.0,1293398.0,16203.0,34500.0,0.0,,0.0,,,14412.0,1750442.0,1846253.0,6048.0,,213.0,-950.0,,,,,,,82616.0,1556.0,44343.0,512167.4,-950.0,,0.0,22307.0,0.0,0.0,0.0,23748.0,,,,7155.0,-13622.0,-213.0,,,0.0,4649.0
2008-12-31,6296948.0,896208.0,3388.0,755094.0,70539.0,,,10774.0,510299.57,0.0,123289.0,,,,32466.0,,,,,2281.0,5203241.0,0.0,7882.0,,6296948.0,177174.0,0.0,10435.0,0.0,90710.0,,0.0,0.0,1107531.0,,1671949.0,1371505.0,0.0,58716.0,7882.0,,0.0,,,36744.0,3512812.0,1846253.0,13719.0,,431.0,1767.0,,,,,,,97618.0,1222.0,54062.0,510299.57,1767.0,,0.0,-46808.0,0.0,0.0,0.0,19686.0,,,,879907.0,-7794.0,-160.0,,,0.0,567122.0
2009-03-31,3550846.0,815796.0,4562.0,0.0,53178.0,,,15710.0,507054.48,0.0,125328.0,,,,94968.0,,,,,5404.0,69314.0,1858810.0,648209.0,,3550846.0,247201.0,0.0,9304.0,0.0,109932.0,,0.0,0.0,0.0,,-59077.0,1365614.0,673869.0,33942.0,648209.0,,0.0,,,39471.0,1769650.0,1847931.0,14303.0,,183.0,-370.0,,,,,,,80710.0,12681.0,51785.0,507054.48,-370.0,,0.0,1120.0,0.0,0.0,0.0,70776.0,,,,50361.0,6888.0,-183.0,,,0.0,46596.0
2009-06-30,3567597.0,842108.0,5392.0,0.0,52548.0,,,17442.0,507054.48,0.0,100383.0,,,,86609.0,,,,,5173.0,70354.0,1874123.0,648356.0,,3567597.0,265528.0,0.0,9907.0,0.0,118049.0,,0.0,0.0,0.0,,8269.0,1294890.0,691566.0,41480.0,648356.0,,0.0,,,42094.0,1836996.0,1847931.0,14938.0,,246.0,-771.0,,,,,,,93583.0,11481.0,62102.0,507054.48,-771.0,,0.0,0.0,0.0,0.0,0.0,70297.0,,,,89247.0,4342.0,-246.0,,,0.0,80041.0
2009-09-30,4026365.0,1286328.0,5498.0,0.0,59743.0,,,12384.0,599453.97,0.0,95573.0,,,,85723.0,,,,,7358.0,71591.0,1888417.0,648605.0,,4026365.0,236205.0,0.0,10107.0,0.0,98821.0,,0.0,0.0,0.0,,68548.0,1266196.0,1145331.0,39273.0,648605.0,,0.0,,,42612.0,2356356.0,2307012.0,15153.0,,216.0,-901.0,,,,,,,99284.0,-7172.0,50316.0,599453.97,-901.0,,0.0,1809.0,0.0,0.0,0.0,69603.0,,,,77881.0,7635.0,-216.0,,,0.0,80649.0
