,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2006-09-30,292706.0,172645.0,0.0,,68129.0,58285.0,,60500.0,0.0,12002.0,0.0,6804.0,,,16957.0,,,68815.0,,0.0,19244.0,93964.0,34229.0,,292706.0,189647.0,0.0,24034.0,6821.0,0.0,,5858.0,0.0,,,0.0,0.0,,2700.0,0.0,,15298.0,,,0.0,205893.0,205893.0,29016.0,,0.0,0.0,,0.0,,,,,109610.0,60500.0,0.0,-134205.0,5750.0,,,0.0,0.0,0.0,0.0,0.0,,,,24118.0,0.0,0.0,,,0.0,16957.0
2006-12-31,287036.0,168104.0,0.0,,64664.0,57209.0,,60500.0,0.0,13463.0,0.0,171.0,,,1804.0,,,57267.0,,0.0,17197.0,95263.0,32768.0,,287036.0,0.0,0.0,18209.0,5821.0,0.0,,10494.0,0.0,,,0.0,0.0,,5534.0,0.0,,13700.0,,,0.0,210535.0,210535.0,0.0,,0.0,0.0,,0.0,,,,,84687.0,60500.0,0.0,0.0,0.0,,,0.0,716.0,0.0,0.0,0.0,,,,7325.0,0.0,0.0,,,0.0,15094.0
2007-03-31,301214.0,174194.0,0.0,,70940.0,52251.0,,60500.0,0.0,12612.0,0.0,6140.0,,,16787.0,,,56095.0,,0.0,19104.0,101776.0,38391.0,,301214.0,182274.0,0.0,18801.0,7600.0,0.0,,10801.0,0.0,,,0.0,0.0,,3995.0,0.0,,14111.0,,,0.0,227013.0,227013.0,29019.0,,5333.0,0.0,,0.0,,,,,110489.0,60500.0,0.0,-120749.0,6033.0,,,0.0,0.0,0.0,0.0,-283.0,,,,24927.0,0.0,0.0,,,0.0,16787.0
2007-06-30,316531.0,193380.0,0.0,,75394.0,54703.0,,60500.0,0.0,17127.0,0.0,5808.0,,,19978.0,,,58293.0,,0.0,17479.0,99864.0,46156.0,,316531.0,201027.0,0.0,22640.0,7157.0,0.0,,6746.0,0.0,,,0.0,0.0,,3487.0,0.0,,14568.0,,,0.0,240183.0,240183.0,25235.0,,5761.0,0.0,,0.0,,,,,110417.0,60500.0,0.0,-139601.0,8682.0,,,0.0,0.0,0.0,0.0,-1949.0,,,,26821.0,0.0,0.0,,,0.0,19978.0
2007-09-30,341201.0,190833.0,0.0,,77598.0,57771.0,,60500.0,0.0,15404.0,0.0,18620.0,,,18575.0,,,69192.0,,0.0,22239.0,109509.0,40060.0,,341201.0,220272.0,0.0,24094.0,6691.0,0.0,,5500.0,0.0,,,0.0,87.0,,4363.0,0.0,,14388.0,,,0.0,253258.0,253258.0,26721.0,,6070.0,0.0,,0.0,,,,,116441.0,60500.0,0.0,-153264.0,9788.0,,,0.0,0.0,0.0,0.0,0.0,,,,26806.0,0.0,0.0,,,0.0,18575.0
2007-12-31,337725.0,181044.0,0.0,,71051.0,60859.0,,60500.0,0.0,14651.0,0.0,171.0,,,3132.0,,,61903.0,,0.0,20760.0,114241.0,34483.0,,337725.0,0.0,0.0,22749.0,5029.0,0.0,,10504.0,0.0,,,0.0,10135.0,,3970.0,0.0,,12575.0,,,0.0,259277.0,259277.0,0.0,,6840.0,0.0,,0.0,,,,,124795.0,60500.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,9672.0,0.0,0.0,,,0.0,16522.0
2008-03-31,344977.0,177248.0,13783.0,,78732.0,72231.0,,60282.44,0.0,0.0,5630.0,0.0,,,16651.0,,,54112.0,,0.0,1283.0,127036.0,13120.0,,344977.0,0.0,0.0,26821.0,5094.0,0.0,,5061.0,0.0,,,0.0,0.0,,3600.0,0.0,,13916.0,,,0.0,273349.0,273349.0,0.0,,6106.0,0.0,,0.0,,,,,132650.0,60282.44,217.56,0.0,0.0,,,0.0,0.0,0.0,0.0,1294.0,,,,25612.0,0.0,0.0,,,0.0,16651.0
2008-06-30,666445.0,277106.0,30519.0,,107928.0,88357.0,,62020.12,0.0,0.0,17039.0,0.0,,,17254.0,,,94593.0,,0.0,0.0,169039.0,60652.0,,666445.0,338256.0,0.0,35329.0,8279.0,0.0,,7843.0,0.0,,,180459.0,0.0,,17532.0,0.0,,40179.0,,,0.0,333682.0,333682.0,45466.0,,7903.0,0.0,,0.0,,,,,168151.0,62020.12,294.88,-251036.0,12875.0,,,0.0,-544.0,0.0,148.0,-2652.0,,,,22691.0,0.0,146326.0,,,0.0,17254.0
2008-09-30,675336.0,286746.0,32219.0,,110219.0,86583.0,,61847.82,0.0,0.0,17442.0,0.0,,,12662.0,,,99612.0,,0.0,0.0,224194.0,66129.0,,675336.0,383508.0,0.0,31193.0,10097.0,0.0,,7303.0,0.0,,,180402.0,0.0,,17104.0,0.0,,40040.0,,,0.0,338178.0,338178.0,56652.0,,10364.0,0.0,,0.0,,,,,193355.0,61847.82,467.18,-262203.0,15719.0,,,0.0,0.0,0.0,0.0,1690.0,,,,17116.0,0.0,0.0,,,0.0,12662.0
2008-12-31,660858.0,279944.0,28510.0,,104769.0,101385.0,,61755.86,0.0,0.0,14220.0,0.0,,,6231.0,,,101683.0,,0.0,0.0,227852.0,45674.0,,660858.0,360919.0,0.0,41880.0,8484.0,0.0,,9595.0,0.0,,,180387.0,0.0,,16083.0,0.0,,26298.0,,,0.0,336407.0,336407.0,56937.0,,7167.0,5767.0,,0.0,,,,,184539.0,61755.86,559.14,-245780.0,18628.0,,,0.0,-544.0,0.0,0.0,4938.0,,,,9274.0,0.0,0.0,,,0.0,6231.0
