,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2010-03-31,77166.0,65433.0,28014.0,0.0,32250.0,214.0,0.0,0.0,0.0,4955.0,11632.0,0.0,0.0,11632.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,77166.0,1329.0,0.0,0.0,0.0,0.0,0.0,968.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75837.0,63085.0,0.0,0.0,8985.0,3767.0,0.0,0.0,0.0,0.0
2010-06-30,73995.0,62080.0,29623.0,0.0,29735.0,214.0,0.0,0.0,0.0,2508.0,11814.0,0.0,0.0,11814.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,73995.0,1166.0,0.0,95.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72829.0,63085.0,0.0,0.0,1085.0,8659.0,0.0,0.0,0.0,0.0
2010-09-30,78341.0,65469.0,32261.0,0.0,29860.0,214.0,0.0,0.0,0.0,3134.0,12771.0,0.0,0.0,12771.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,78341.0,1454.0,0.0,0.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,76882.0,63085.0,0.0,0.0,1085.0,12712.0,0.0,0.0,0.0,0.0
2010-12-31,84977.0,67621.0,37219.0,0.0,3902.0,214.0,0.0,141.0,47.0,26098.0,17356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2322.0,15034.0,0.0,0.0,0.0,0.0,84977.0,8610.0,126.0,2485.0,830.0,0.0,0.0,0.0,5169.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,76345.0,63085.0,0.0,0.0,13260.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,92281.0,74709.0,43519.0,0.0,3831.0,214.0,0.0,663.0,99.0,26383.0,17572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2144.0,15428.0,0.0,0.0,0.0,0.0,92281.0,6295.0,-53.0,210.0,1192.0,37.0,0.0,4519.0,390.0,0.0,0.0,4252.0,4211.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,81734.0,63085.0,0.0,0.0,13260.0,5389.0,0.0,0.0,0.0,0.0
2011-03-31,92281000.0,74709000.0,44303000.0,,2958000.0,,,663000.0,26482000.0,0.0,15428000.0,,,,,,,,,,,0.0,0.0,,92281000.0,6295000.0,0.0,210000.0,0.0,37000.0,,0.0,1878000.0,,,0.0,4211000.0,,1523000.0,0.0,,0.0,,,,18649000.0,0.0,,,0.0,608000.0,,,,
2011-06-30,81128.0,61983.0,29171.0,0.0,4236.0,214.0,0.0,775.0,148.0,27439.0,19145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.0,17011.0,0.0,0.0,0.0,0.0,81128.0,1611.0,0.0,42.0,801.0,39.0,0.0,18.0,711.0,0.0,0.0,4274.0,4211.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,75243.0,63085.0,0.0,0.0,2036.0,10122.0,0.0,0.0,0.0,0.0
2011-06-30,81128000.0,61983000.0,33330000.0,,0.0,,,775000.0,27587000.0,0.0,17011000.0,,,,,,,,,,,0.0,0.0,,81128000.0,1611000.0,0.0,42000.0,0.0,39000.0,,0.0,4049000.0,,,0.0,4211000.0,,1512000.0,0.0,,0.0,,,,12158000.0,0.0,,,0.0,600000.0,,,,
2011-09-30,86453.0,67962.0,34311.0,0.0,4463.0,214.0,0.0,748.0,77.0,28149.0,18491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323.0,16168.0,0.0,0.0,0.0,0.0,86453.0,2055.0,0.0,318.0,744.0,128.0,0.0,18.0,847.0,0.0,0.0,4210.0,4123.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,80188.0,63085.0,0.0,0.0,2036.0,15067.0,0.0,0.0,0.0,0.0
2011-09-30,86453000.0,67962000.0,65553000.0,,0.0,,,748000.0,80000.0,0.0,16168000.0,,,,,,,,,,,0.0,0.0,,86453000.0,2055000.0,0.0,318000.0,0.0,128000.0,,0.0,1274000.0,,,0.0,4123000.0,,1591000.0,0.0,,0.0,,,,17103000.0,0.0,,,0.0,605000.0,,,,
