,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-03-31,1287653.0,66023.0,0.0,0.0,48679.0,0.0,,0.0,,6076.0,0.0,,,0.0,2491.0,-2037.0,4982.0,0.0,,7965.1,0.0,641303.0,451892.0,,1287653.0,113151.0,,7403.0,0.0,13120.0,0.0,496.0,87481.0,,,32152.0,32152.0,0.0,135560.0,0.0,,,,,906.0,989011.0,989917.0,298642.0,,0.0,16873.0,,,,,,,70364.0,11128.0,70364.0,,724592.0,,0.0,906.0,1577.0,0.0,13534.0,0.0,,,,12822.0,5171.0,0.0,,,25.0,10356.0
2007-06-30,1535225.0,107771.0,0.0,0.0,88743.0,0.0,,0.0,,6989.0,0.0,,,0.0,-496.0,-1785.0,-992.0,0.0,,9365.95,0.0,644750.0,423715.0,,1535225.0,138955.0,,6715.0,0.0,27212.0,0.0,429.0,98644.0,,,51829.0,51829.0,0.0,144727.0,0.0,,,,,1236.0,1181990.0,1183226.0,353235.0,,0.0,16488.0,,,,,,,78764.0,22042.0,78764.0,,917571.0,,0.0,1236.0,596.0,0.0,15603.0,79041.0,,,,6200.0,5285.0,0.0,,,-21.0,6675.0
2007-09-30,2123625.0,546983.0,0.0,0.0,63530.0,0.0,,0.0,,8210.0,0.0,,,0.0,5569.0,-8888.0,11138.0,0.0,,16076.7,0.0,711650.0,395539.0,,2123625.0,130875.0,,6817.0,0.0,17532.0,0.0,211.0,96844.0,,,25260.0,25260.0,0.0,104138.0,0.0,,,,,1280.0,1844801.0,1846081.0,278824.0,,0.0,17271.0,,,,,,,85095.0,25052.0,85095.0,,892054.0,,0.0,1280.0,1660.0,0.0,15213.0,42792.0,,,,-19968.0,5993.0,0.0,,,-81.0,-25618.0
2007-12-31,2210414.0,529742.0,0.0,0.0,94691.0,0.0,,0.0,,18607.0,0.0,,,0.0,5479.0,-12033.0,0.0,0.0,,10464.23,0.0,928440.0,427793.0,,2210414.0,154505.0,,9115.0,0.0,16333.0,0.0,0.0,120123.0,,,21969.0,21969.0,0.0,155174.0,0.0,,,,,1317.0,1874086.0,1875403.0,336328.0,,0.0,3363.0,,,,,,,102170.0,-28970.0,102170.0,,921339.0,,0.0,1317.0,4194.0,0.0,95686.0,38302.0,,,,35042.0,7263.0,0.0,,,-88.0,29475.0
2008-03-31,2280485.0,499938.0,0.0,0.0,64620.0,0.0,,15444.0,,664.0,0.0,,,0.0,6480.0,-9167.0,12960.0,0.0,,16877.38,0.0,1087241.0,396639.0,,2280485.0,146071.0,,8035.0,0.0,15846.0,0.0,0.0,114075.0,,,18028.0,18028.0,0.0,225178.0,0.0,,,,,1311.0,1886509.0,1887820.0,393976.0,,1085414.0,3388.0,,,,,,,80892.0,18213.0,80892.0,,933762.0,,6982.0,1311.0,2603.0,0.0,96142.0,33874.0,,,,19587.0,7584.0,0.0,,,-145.0,12962.0
2008-06-30,2301420.0,390069.0,0.0,0.0,77441.0,0.0,,16882.0,,508.0,0.0,,,0.0,6498.0,-5086.0,12996.0,0.0,,17036.28,0.0,1213178.0,366636.0,,2301420.0,152775.0,,8652.0,0.0,15726.0,0.0,0.0,108744.0,,,13584.0,13584.0,0.0,218197.0,0.0,,,,,12915.0,1899221.0,1912136.0,402199.0,,1133132.0,4728.0,,,,,,,104106.0,33860.0,104106.0,,946474.0,,4677.0,12915.0,2120.0,0.0,129618.0,29310.0,,,,19409.0,8248.0,0.0,,,-172.0,12739.0
2008-09-30,2295827.0,245227.0,0.0,0.0,75246.0,0.0,,20402.0,,887.0,0.0,,,0.0,10445.0,-7042.0,20890.0,0.0,,27032.19,0.0,1373032.0,335866.0,,2295827.0,134499.0,,11474.0,0.0,15704.0,0.0,0.0,61423.0,,,9978.0,9978.0,0.0,221469.0,0.0,,,,,12914.0,1912728.0,1925642.0,383099.0,,1190969.0,4239.0,,,,,,,101099.0,20120.0,101099.0,,959981.0,,4645.0,12914.0,-1640.0,0.0,137788.0,25682.0,,,,19733.0,7732.0,0.0,,,-201.0,9087.0
2008-12-31,2582737.0,344512.0,0.0,0.0,99529.0,0.0,,20198.0,,0.0,0.0,,,0.0,-3542.0,-2899.0,-7084.0,0.0,,7121.1,0.0,1521612.0,6460.0,,2582737.0,308465.0,,25326.0,444.14,107360.0,8600.0,20084.0,70779.0,,,128912.0,128912.0,29864.0,196657.0,0.0,,,,,12953.0,1931179.0,1944132.0,651558.0,,379277.0,4571.0,,,,,,,125134.0,19790.0,125134.0,,978432.0,,4078.0,12953.0,3920.0,0.0,148906.0,236272.0,,,,39315.0,7850.0,1087553.0,,,-248.0,42609.0
2009-03-31,2658409.0,356545.0,0.0,0.0,109372.0,0.0,,21090.0,,-17072.0,0.0,,,0.0,502.0,-5626.0,1004.0,0.0,,505.09,0.0,1579272.0,310529.0,,2658409.0,340793.0,,14189.0,1025.17,112996.0,11818.0,20084.0,99996.0,,,126110.0,126110.0,33420.0,200317.0,0.0,,,,,13077.0,1973560.0,1986637.0,684849.0,,390728.0,4552.0,,,,,,,100941.0,18885.0,100941.0,,1025437.0,,2796.0,13077.0,-6198.0,0.0,150935.0,239106.0,,,,44907.0,9381.0,1091971.0,,,-227.0,44178.0
2009-06-30,2733997.0,362490.0,0.0,0.0,106131.0,0.0,,22179.0,,-12296.0,0.0,,,0.0,1970.0,-6157.0,3940.0,0.0,,1980.5,0.0,1660265.0,310035.0,,2733997.0,253435.0,,21406.0,1025.17,29999.0,13083.0,0.0,101293.0,,,254985.0,254985.0,39611.0,188891.0,0.0,,,,,13019.0,2019195.0,2032214.0,714802.0,,403438.0,4472.0,,,,,,,107069.0,24657.0,107069.0,,1071072.0,,4542.0,13019.0,-3354.0,0.0,151389.0,184663.0,,,,47826.0,9719.0,1091821.0,,,-228.0,45628.0
