,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2004-12-31,327698.0,185591.0,3230.0,0.0,77312.0,42839.0,,87575.0,,15103.0,5263.0,,,21648.0,0.0,,0.0,0.0,2381.0,6655.0,24837.0,218400.0,0.0,,327698.0,48731.0,7040.0,11007.0,0.0,12078.0,84731.0,81549.0,0.0,0.0,,5685.0,5685.0,0.0,9652.0,0.0,,0.0,,,4903.0,242967.0,30859.61,0.0,,,24567.0,,,0.0,,,,90905.0,0.0,20716.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,127.0,0.0,,,,9483.0,0.0,30310.0,,,0.0,6253.0
2005-03-31,315855.0,187138.0,6264.0,0.0,82238.0,46190.0,,86130.0,,18814.0,5192.0,,,19734.0,0.0,,0.0,0.0,2792.0,427.0,22768.0,201025.0,0.0,,315855.0,43853.0,5594.0,15306.0,0.0,1988.0,80290.0,72559.0,0.0,0.0,,4804.0,4804.0,0.0,10767.0,0.0,,0.0,,,5221.0,235565.0,30859.61,4094.0,,,34540.0,,,0.0,,,,88775.0,0.0,20378.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,,,,16237.0,0.0,31628.0,,,0.0,9973.0
2005-06-30,317703.0,174614.0,4362.0,0.0,81241.0,49653.0,,86772.0,,2950.0,5121.0,,,18747.0,0.0,,0.0,0.0,3232.0,509.0,20698.0,201025.0,0.0,,317703.0,45436.0,5990.0,16958.0,0.0,16213.0,83080.0,81800.0,0.0,0.0,,4917.0,4917.0,0.0,10627.0,0.0,,0.0,,,5336.0,234623.0,30859.61,12328.0,,,33598.0,,,0.0,,,,92887.0,0.0,22736.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,673.0,0.0,,,,11760.0,0.0,32723.0,,,0.0,7398.0
2005-09-30,314269.0,173016.0,1694.0,0.0,52235.0,53001.0,,86290.0,,3083.0,6861.0,,,19755.0,0.0,,0.0,0.0,3457.0,501.0,18628.0,201025.0,0.0,,314269.0,43029.0,6355.0,12961.0,0.0,15971.0,81110.0,74295.0,0.0,0.0,,5612.0,5612.0,0.0,10653.0,0.0,,0.0,,,5378.0,233159.0,30859.61,4284.0,,,32134.0,,,0.0,,,,81764.0,0.0,22006.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,59.0,0.0,,,,7528.0,0.0,32465.0,,,0.0,5834.0
2005-12-31,317669.0,183153.0,3232.0,0.0,66745.0,50627.0,,82463.0,,6767.0,6575.0,,,17636.0,0.0,,0.0,0.0,3301.0,8176.0,16558.0,201025.0,0.0,,317669.0,50801.0,7394.0,14294.0,0.0,15947.0,88530.0,84352.0,0.0,0.0,,4922.0,4922.0,237.26,10771.0,0.0,,0.0,,,5390.0,229139.0,30636.42,12542.0,,,28114.0,,,0.0,,,,85600.0,0.0,21174.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4322.0,0.0,,,,5570.0,0.0,30228.0,,,0.0,2338.0
2006-03-31,310727.0,179929.0,1671.0,0.0,48853.0,51497.0,,81077.0,,4309.0,6152.0,,,16532.0,0.0,,0.0,0.0,3009.0,7283.0,14489.0,201025.0,0.0,,310727.0,46539.0,7354.0,12361.0,0.0,15728.0,82113.0,77037.0,0.0,0.0,,4513.0,4513.0,237.26,10325.0,0.0,,0.0,,,5406.0,228614.0,30626.81,4273.0,,,27589.0,,,0.0,,,,80959.0,0.0,19905.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-12.0,0.0,,,,3910.0,0.0,154.0,,,0.0,2239.0
2006-06-30,316211.0,187265.0,3044.0,0.0,57843.0,55708.0,,79949.0,,4560.0,6067.0,,,19959.0,0.0,,0.0,0.0,2666.0,6129.0,12418.0,201025.0,0.0,,316211.0,49713.0,6534.0,14425.0,0.0,16893.0,86997.0,76567.0,0.0,0.0,,4006.0,4006.0,237.26,10333.0,0.0,,0.0,,,0.0,229214.0,30626.81,4264.0,,,28189.0,,,0.0,,,,81939.0,0.0,21527.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,5372.0,0.0,143.0,,,0.0,2328.0
2006-09-30,323881.0,195952.0,4017.0,0.0,59869.0,53923.0,,79400.0,,3738.0,5982.0,,,25815.0,0.0,,0.0,0.0,2575.0,6442.0,10348.0,201025.0,0.0,,323881.0,58339.0,8939.0,14568.0,0.0,17271.0,94574.0,88121.0,0.0,0.0,,3339.0,3339.0,237.26,10485.0,0.0,,0.0,,,0.0,229307.0,30626.81,4423.0,,,28282.0,,,0.0,,,,95388.0,0.0,24096.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,63.0,0.0,,,,7330.0,0.0,229.0,,,0.0,3313.0
2006-12-31,334325.0,200981.0,-3572.0,0.0,62288.0,52879.0,,78985.0,,2828.0,16586.0,,,16080.0,0.0,,0.0,0.0,6949.0,20963.0,8279.0,201025.0,0.0,,334325.0,68773.0,8244.0,16537.0,0.0,17435.0,104097.0,86285.0,0.0,0.0,,2701.0,2701.0,76.69,11221.0,0.0,,0.0,,,5311.0,230228.0,27524.27,12635.0,,,29203.0,,,0.0,,,,96484.0,0.0,22478.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-346.0,0.0,,,,9853.0,0.0,123.0,,,0.0,13425.0
2007-03-31,316305.0,187128.0,4016.0,0.0,64916.0,47036.0,,78508.0,,2806.0,2666.0,,,18436.0,8032.0,,0.0,0.0,3597.0,4907.0,6209.0,201025.0,3338.0,,316305.0,51680.0,8340.0,16400.0,0.0,9436.0,85540.0,96771.0,0.0,0.0,,2056.0,2056.0,76.69,10738.0,0.0,,0.0,,,5368.0,230765.0,27524.27,4297.0,,,29740.0,,,0.0,,,,103515.0,0.0,26615.0,0.0,0.0,0.0,0.0,678.0,0.0,5.0,-124.0,0.0,,,,6620.0,0.0,211.0,,,2756.0,2604.0
