,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2012-12-31,1087204.992,49285.0,36931.0,0.0,5198.0,1477.0,0.0,4163.0,1516.0,0.0,34993.0,0.0,0.0,2917.0,15697.0,0.0,2922.0,2142.0,0.0,11315.0,1002632.0,295.0,0.0,0.0,1087204.992,169586.0,1703.0,14723.0,2091.0,62477.0,405.0,0.0,88187.0,0.0,0.0,481796.992,446268.992,0.0,34533.0,995.0,0.0,0.0,0.0,0.0,55.0,435767.016,134362.0,286520.99199999997,0.0,14884.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1159662.976,35042.0,24589.0,0.0,4807.0,0.0,0.0,3901.0,1740.0,5.0,23962.0,0.0,0.0,3248.0,0.0,0.0,3675.0,1993.0,0.0,15046.0,1100272.0,387.0,0.0,0.0,1159662.976,326240.99199999997,2546.0,10616.0,1996.0,237696.992,263.0,0.0,73123.0,0.0,0.0,396368.0,372972.0,0.0,22951.0,445.0,0.0,0.0,0.0,0.0,73.0,436981.016,134362.0,286608.0,0.0,14884.0,1127.0,0.0,0.0,0.0,0.0
2013-06-30,1467207.04,247580.992,237728.992,0.0,4972.0,0.0,0.0,3766.0,1042.0,72.0,28916.0,0.0,0.0,4208.0,0.0,0.0,5681.0,1904.0,0.0,17123.0,1190168.064,542.0,0.0,0.0,1467207.04,262758.0,3544.0,14922.0,2569.0,187295.008,159.0,0.0,54269.0,0.0,0.0,486899.008,461222.016,0.0,25141.0,536.0,0.0,0.0,0.0,0.0,82.0,717468.016,171452.992,525491.0079999999,0.0,14884.0,5640.0,0.0,0.0,0.0,0.0
2013-09-30,1542935.04,238451.008,195570.0,0.0,37153.0,0.0,0.0,4214.0,1434.0,80.0,41845.0,0.0,0.0,14689.0,0.0,0.0,5846.0,2697.0,0.0,18613.0,1262064.0,575.0,0.0,0.0,1542935.04,243972.992,3888.0,11610.0,3752.0,181544.992,280.0,0.0,42898.0,0.0,0.0,561702.976,540289.9839999999,0.0,17715.0,3698.0,0.0,0.0,0.0,0.0,89.0,737170.0079999999,171452.992,525472.0,0.0,14884.0,25361.0,0.0,0.0,0.0,0.0
2013-12-31,1626286.976,178759.008,151200.0,0.0,20758.0,0.0,0.0,5144.0,1654.0,3.0,43365.0,0.0,0.0,14194.0,0.0,0.0,6505.0,2842.0,0.0,19824.0,1403549.9519999998,613.0,0.0,0.0,1626286.976,357307.008,4024.0,10772.0,4196.0,245320.992,201.0,0.0,92793.0,0.0,0.0,528995.0079999999,521595.008,0.0,6430.0,970.0,0.0,0.0,0.0,0.0,88.0,739897.0240000001,171452.992,525576.0,0.0,42868.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,1629646.976,106394.0,75846.0,0.0,21622.0,0.0,0.0,7020.0,1906.0,0.0,58643.0,0.0,0.0,13250.0,0.0,0.0,7598.0,3448.0,0.0,34347.0,1463968.0,642.0,0.0,0.0,1629646.976,233292.0,4521.0,9333.0,3748.0,156236.992,190.0,0.0,59263.0,0.0,0.0,651201.9839999999,640240.0,0.0,10072.0,890.0,0.0,0.0,0.0,0.0,69.0,745084.0240000001,171452.992,525671.0079999999,0.0,42868.0,5092.0,0.0,0.0,0.0,0.0
2014-06-30,2463941.12,40486.0,7637.0,0.0,22351.0,0.0,0.0,8407.0,2091.0,0.0,103190.0,0.0,0.0,10680.0,0.0,0.0,54180.0,3354.0,0.0,34976.0,2319596.0319999997,669.0,0.0,0.0,2463941.12,208864.992,3485.0,10589.0,3380.0,159496.0,0.0,0.0,31915.0,0.0,0.0,794745.984,659497.9839999999,0.0,49312.0,85936.0,0.0,0.0,0.0,0.0,0.0,1460329.9840000002,171452.992,525766.0160000001,0.0,42868.0,720011.0079999999,0.0,0.0,232.0,0.0
2014-09-30,2588731.904,136062.0,104581.0,0.0,23213.0,0.0,0.0,6338.0,1927.0,3.0,66476.0,0.0,0.0,8123.0,0.0,0.0,16294.0,3677.0,0.0,38382.0,2385385.984,808.0,0.0,0.0,2588731.904,221754.0,3735.0,8428.0,3226.0,191226.0,0.0,0.0,15139.0,0.0,0.0,898620.9920000001,806569.984,0.0,44393.0,47658.0,0.0,0.0,0.0,0.0,209.0,1468147.9919999999,171844.0,528400.9920000001,0.0,42868.0,725035.0079999999,0.0,0.0,0.0,0.0
2014-12-31,2626148.096,111106.0,77334.0,0.0,24806.0,0.0,0.0,6577.0,2386.0,3.0,80190.0,0.0,0.0,8293.0,0.0,0.0,28535.0,4442.0,0.0,38920.0,2433792.0,1060.0,0.0,0.0,2626148.096,230156.0,2743.0,5692.0,3241.0,185278.0,0.0,0.0,33202.0,0.0,0.0,941777.0240000001,849150.9759999999,0.0,44277.0,48349.0,0.0,0.0,0.0,0.0,224.0,1453991.04,171844.0,528521.9839999999,0.0,753625.0240000001,0.0,0.0,0.0,0.0,0.0
2015-03-31,2607738.88,129927.0,46404.0,0.0,73736.0,0.0,0.0,6614.0,2545.0,628.0,139160.0,0.0,0.0,64144.0,0.0,0.0,30208.0,4610.0,0.0,40198.0,2336897.024,1755.0,0.0,0.0,2607738.88,236403.008,2928.0,5665.0,2889.0,188496.0,0.0,0.0,36425.0,0.0,0.0,932915.968,845571.0079999999,0.0,42411.0,44934.0,0.0,0.0,0.0,0.0,138.0,1438281.968,171844.0,528640.9920000001,0.0,753625.0240000001,-15828.0,0.0,0.0,0.0,0.0
