,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,180480.0,83821.0,0.0,0.0,13873.0,41163.0,,13505.0,5902.0,,0.0,,,,13672.0,,,10770.0,,0.0,1319.0,62796.0,0.0,,180480.0,67674.0,730.0,19672.0,0.0,81868.0,,136.0,0.0,11838.0,,13672.0,0.0,,522.0,,,0.0,,,,98612.0,24989.0,7825.0,,0.0,0.0,,,,
2002-03-31,187459.0,92087.0,0.0,0.0,25278.0,39892.0,,13765.0,5750.0,,0.0,,,,13385.0,,,16177.0,,0.0,1369.0,62357.0,0.0,,187459.0,78991.0,1634.0,22833.0,0.0,92895.0,,135.0,0.0,12280.0,,13385.0,0.0,,519.0,,,0.0,,,,94564.0,24998.0,8442.0,,0.0,0.0,,,,
2002-06-30,156724.0,76992.0,0.0,0.0,27150.0,32584.0,,10352.0,3231.0,,0.0,,,,16099.0,,,14148.0,,0.0,1306.0,53732.0,0.0,,156724.0,42578.0,4032.0,18127.0,-85795.0,151433.0,,135.0,0.0,7562.0,,16099.0,0.0,,92756.0,,,0.0,,,,5291.0,24828.0,9367.0,,0.0,0.0,,,,
2002-09-30,195652.0,90736.0,0.0,14760.0,33536.0,28334.0,,9402.0,2494.0,,25534.0,,,,40605.0,,,23926.0,,0.0,1322.0,52293.0,0.0,,195652.0,46291.0,7335.0,13415.0,33.0,183012.0,,134.0,0.0,7015.0,,40605.0,0.0,,96116.0,,,0.0,,,,12640.0,34632.0,10102.0,,0.0,0.0,,,,
2002-12-31,191129.0,84513.0,0.0,1156.0,29387.0,33271.0,,12362.0,1794.0,,26187.0,,,,21164.0,,,40061.0,,0.0,1478.0,52016.0,0.0,,191129.0,77602.0,-2466.0,16564.0,6077.0,159502.0,,134.0,0.0,18738.0,,21164.0,0.0,,60736.0,,,0.0,,,,31627.0,0.0,11179.0,,0.0,0.0,,,,
2003-03-31,205808.0,103393.0,0.0,634.0,40618.0,41769.0,,15970.0,1566.0,,20770.0,,,,21569.0,,,30583.0,,0.0,1407.0,49217.0,0.0,,205808.0,76725.0,2019.0,20976.0,0.0,160581.0,,134.0,0.0,18923.0,,21569.0,0.0,,62287.0,,,0.0,,,,45227.0,0.0,12225.0,,0.0,0.0,,,,
2003-06-30,199624.0,116278.0,0.0,9764.0,41227.0,41775.0,,19229.0,2568.0,,0.0,,,,20878.0,,,34615.0,,0.0,1159.0,49617.0,0.0,,199624.0,69028.0,473.0,14230.0,-84.0,152271.0,,134.0,0.0,13831.0,,20878.0,0.0,,62365.0,,,0.0,,,,47353.0,0.0,21755.0,,0.0,0.0,,,,
2003-09-30,453378.0,195705.0,0.0,49236.0,59564.0,52183.0,,27274.0,4854.0,,0.0,,,,25788.0,,,46934.0,,0.0,1147.0,154334.0,0.0,,453378.0,104793.0,2084.0,16573.0,18.0,219186.0,,2374.0,0.0,24012.0,,25788.0,0.0,,88605.0,,,0.0,,,,234192.0,0.0,26802.0,,0.0,0.0,,,,
2003-12-31,440961.0,184191.0,0.0,37001.0,60220.0,51184.0,,27215.0,4607.0,,0.0,,,,25566.0,,,30052.0,,0.0,1647.0,152802.0,0.0,,440961.0,93925.0,14932.0,16635.0,51.0,205941.0,,9532.0,0.0,22677.0,,25566.0,0.0,,86450.0,,,0.0,,,,235020.0,0.0,19590.0,,11020.0,0.0,,,,
2004-03-31,456170.0,200050.0,0.0,32973.0,69080.0,59332.0,,30947.0,4412.0,,0.0,,,,20098.0,,,37118.0,,0.0,1800.0,152846.0,0.0,,456170.0,102365.0,2760.0,25843.0,-555.0,210014.0,,7194.0,0.0,20814.0,,20098.0,0.0,,87551.0,,,0.0,,,,246156.0,0.0,20488.0,,0.0,0.0,,,,
