,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2005-12-31,44710.0,23909.0,11398.0,0.0,24183.0,,,5775.0,20.0,,13666.0,,,0.0,24958.0,,,,2771.0,22641.0,2729.0,4037.0,0.0,,44710.0,15496.0,1287.0,2545.0,-250.0,7.0,,0.0,0.0,,,312.0,,,0.0,0.0,,0.0,,,7.0,25467.0,-3.0,0.0,,,11230.0,2534.0,,,
2007-03-31,30157.0,17983.0,3968.0,0.0,13869.0,,,4710.0,0.0,,0.0,,,0.0,23037.0,,,,4000.0,20942.0,2951.0,8886.0,0.0,,30157.0,16184.0,0.0,1912.0,0.0,0.0,,0.0,0.0,,,464.0,,,0.0,0.0,,0.0,,,0.0,13973.0,104.0,0.0,,,11813.0,795.0,,,
2007-06-30,67998.0,29986.0,4884.0,0.0,19674.0,,,7075.0,632.0,,26225.0,,,0.0,35529.0,,,,2878.0,32069.0,457.0,10460.0,0.0,,67998.0,22630.0,0.0,1264.0,-4.0,67.0,,0.0,0.0,,,492.0,,,0.0,0.0,,0.0,,,67.0,28093.0,8419.0,0.0,,,20615.0,4259.0,,,
2007-09-30,86483.0,38379.0,1905.0,0.0,32055.0,,,8028.0,670.0,,31099.0,,,0.0,36581.0,,,,2878.0,32945.0,335.0,14284.0,0.0,,86483.0,31457.0,0.0,2103.0,-345.0,663.0,,0.0,0.0,,,428.0,,,0.0,0.0,,0.0,,,663.0,40474.0,8419.0,0.0,,,27580.0,8539.0,,,
2007-12-31,626825.0,347106.0,264690.0,0.0,17039.0,,,14488.0,562.0,,240892.0,,,0.0,62890.0,,,,37919.0,56997.0,3698.0,25123.0,0.0,,626825.0,188092.0,0.0,7759.0,-1399.0,1316.0,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,,1316.0,27145.0,10106.0,0.0,,,42607.0,108237.0,,,
2008-03-31,612678.0,301695.0,220761.0,0.0,29206.0,,,14366.0,642.0,,260228.0,,,0.0,62193.0,,,,37919.0,55194.0,5519.0,23437.0,6187.0,,612678.0,162691.0,0.0,3794.0,-2359.0,3861.0,,0.0,0.0,,,1074.0,,,0.0,0.0,,0.0,,,3861.0,74312.0,45106.0,0.0,,,46306.0,86653.0,,,
2008-06-30,532975.0,216136.0,135089.0,15380.0,46041.0,,,16065.0,607.0,,257096.0,,,0.0,85732.0,,,,2879.0,75467.0,7060.0,24408.0,7871.0,,532975.0,129983.0,0.0,4896.0,-4188.0,7484.0,,0.0,1811.0,,,1631.0,,,0.0,0.0,,0.0,,,7484.0,92180.0,46139.0,1012.0,,,57443.0,80000.0,,,
2008-09-30,544097.0,210053.0,115112.0,19451.0,48288.0,,,17526.0,427.0,,272770.0,,,0.0,72895.0,,,,84.0,65078.0,545.0,30707.0,9165.0,,544097.0,132571.0,0.0,4173.0,-3493.0,5467.0,,543.0,2158.0,,,1782.0,,,0.0,0.0,,0.0,,,5467.0,94427.0,46139.0,1231.0,,,59292.0,74524.0,,,
2008-12-31,290850.0,176469.0,106841.0,16890.0,-44836.0,,,9049.0,198.0,,783.0,,,0.0,42342.0,,,,84.0,36239.0,517.0,27551.0,81315.0,,290850.0,55542.0,0.0,6005.0,-3013.0,2254.0,,-543.0,208.0,,,1954.0,,,0.0,0.0,,0.0,,,2254.0,1302.0,46138.0,1103.0,,,37132.0,8871.0,,,
2009-03-31,285027.0,167565.0,101125.0,14893.0,-43013.0,,,3913.0,226.0,,783.0,,,0.0,38264.0,,,,84.0,34656.0,520.0,25643.0,12540.0,,285027.0,48393.0,0.0,4573.0,0.0,4537.0,,0.0,1769.0,,,4105.0,,,0.0,0.0,,12558.0,,,4537.0,3125.0,46138.0,1564.0,,,38664.0,6294.0,,,
