,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados
2009-09-30,9502025.728,5194162.176,5232.0,324063.00800000003,2952537.088,0.0,0.0,1854860.032,0.0,57033.0,437.0,3747258.1119999997,86852.0,2449171.9680000003,0.0,0.0,1132295.04,0.0,78939.0,0.0,560606.0160000001,556491.0079999999,3725.0,0.0,46.0,344.0,9502025.728,4754113.024,2184711.9359999998,1806598.0159999998,0.0,0.0,2660.0,84603.0,372619.008,0.0,302920.99199999997,3765252.0960000004,2553709.056,0.0,0.0,0.0,0.0,875.0,692016.0,0.0,518652.0,2584.0,0.0,980076.9920000001,420000.0,56841.0,0.0,480172.0,-3.0,23067.0
2009-12-31,10716403.712000001,5155039.232,10109.0,431676.992,2030163.968,0.0,0.0,2081041.024,489319.008,103464.0,9265.0,5542256.128,118366.0,3812879.872,0.0,0.0,1096765.952,378110.016,133106.0,3028.0,19109.0,6831.0,3793.0,8038.0,137.0,310.0,10716403.712000001,6622715.904,3294401.0239999997,2462201.088,111531.0,0.0,120.0,89679.0,302841.984,0.0,361942.016,3013577.9839999997,1302146.9440000001,0.0,316127.00800000003,0.0,0.0,937.0,647358.976,0.0,747008.0,0.0,99592.0,980518.016,420000.0,56841.0,0.0,505460.0,-1783.0,0.0
2010-03-31,3324241000.0,8888000.0,24843000.0,165624000.0,5628085000.0,270000.0,,129000.0,,420000000.0,22000.0,9108372000.0,0.0,53949000.0,-1995000.0,,15177000.0,,646015000.0,15124000.0,587616000.0,1108769000.0,10577000.0,,0.0,,10115554000.0,196047000.0,10115554000.0,238403000.0,0.0,,90224490.0,426701000.0,-24166000.0,0.26865,-1478000.0,-22000.0,20119000.0,,0.26865,,,101587000.0,-37893000.0,-1995000.0,14644000.0,0.0,,1007182000.0,1168000.0,2238708000.0,,151000.0,-434000.0,0.0
2010-03-31,10115554.304,6820435.967999999,8888.0,434996.992,3959762.9439999997,0.0,0.0,1854617.9840000002,437296.0,114978.0,9896.0,3277310.9760000003,303691.00800000003,1421676.032,0.0,0.0,1112712.96,303510.016,133367.0,2354.0,17807.0,6831.0,3788.0,6789.0,129.0,270.0,10115554.304,5953415.168,2217904.8959999997,2927953.92,90494.0,0.0,848.0,100136.0,289336.0,0.0,326742.016,3053370.1119999997,1432029.9519999998,0.0,343022.016,0.0,0.0,1056.0,644958.976,0.0,632302.976,0.0,101587.0,1007182.016,420000.0,57917.0,0.0,505460.0,-434.0,24239.0
2010-06-30,10049815.552000001,7587322.88,6814.0,295825.984,4949446.143999999,0.0,0.0,1812029.0559999999,384059.008,135160.992,3988.0,2446917.8880000003,275507.00800000003,811369.984,0.0,0.0,967444.9920000001,254388.0,136264.0,1944.0,15575.0,6831.0,3761.0,4631.0,121.0,231.0,10049815.552000001,6184944.128,2518899.9680000003,2806639.104,82602.0,0.0,3460.0,166576.0,313001.984,0.0,293764.99199999997,2746035.9680000003,1063972.992,0.0,439342.016,0.0,0.0,1698.0,613502.976,0.0,627520.0,0.0,102591.0,1016244.9920000001,446000.0,57917.0,0.0,513339.008,-1011.0,0.0
2010-06-30,3295339000.0,6814000.0,21701000.0,173874000.0,5799949000.0,231000.0,,121000.0,,446000000.0,30000.0,9033571000.0,0.0,53949000.0,-2146000.0,,16297000.0,,615201000.0,13239000.0,571256000.0,1118836000.0,8392000.0,,0.0,,10049816000.0,195075000.0,10049816000.0,224932000.0,0.0,,90224490.0,512822000.0,-20659000.0,0.25248000000000004,-1636000.0,-30000.0,10161000.0,,0.25248000000000004,,,102591000.0,-25738000.0,-2146000.0,3295000.0,0.0,,1016245000.0,849000.0,2357360000.0,,151000.0,-1011000.0,0.0
2010-09-30,9173345.28,6387006.976,12709.0,307028.0,3842080.0,0.0,0.0,1739367.04,357612.992,124915.0,3295.0,2771837.952,436255.008,882296.0,0.0,0.0,1063296.0,236023.008,152088.992,1879.0,14500.0,6831.0,3890.0,3472.0,114.0,193.0,9173345.28,5259266.048,2331938.048,2128027.008,132052.0,0.0,2323.0,165672.0,328068.99199999997,0.0,171184.992,2773111.04,952721.984,0.0,553182.976,0.0,0.0,1218.0,723731.0079999999,0.0,542257.024,0.0,105395.0,1035572.9920000001,446000.0,57917.0,0.0,513339.008,34.0,18283.0
2010-09-30,2803569000.0,12709000.0,19808000.0,184944000.0,4728634000.0,193000.0,,114000.0,,446000000.0,37000.0,8137772000.0,0.0,53949000.0,-2804000.0,,15172000.0,,724949000.0,17291000.0,589539000.0,1140968000.0,7362000.0,,0.0,,9173345000.0,214279000.0,9173345000.0,241561000.0,0.0,,90224490.0,503434000.0,-18063000.0,0.20264,-1447000.0,-37000.0,7269000.0,,0.20264,,,105395000.0,-21434000.0,-2804000.0,4748000.0,0.0,,1035573000.0,839000.0,2482650000.0,,151000.0,34000.0,0.0
2010-12-31,9337765.888,8931.0,6666.0,514928.0,2713043.9680000003,50671.0,0.0,2300610.048,0.0,148903.008,290.0,4187211.008,3429452.0319999997,757758.9759999999,0.0,0.0,975222.9759999999,0.0,97871.0,0.0,4929955.84,604032.0,3749.0,0.0,83.0,155.0,9337765.888,0.0,2181148.9280000003,2502168.0640000002,9663.0,0.0,35520.0,179891.008,526052.0,0.0,191518.0,28778.0,1064822.0159999998,0.0,407816.992,0.0,0.0,980.0,581209.9839999999,0.0,440646.016,7845398.016,0.0,29488.0,446000.0,57917.0,0.0,538600.0,32.0,0.0
2011-03-31,9037376.512,5998023.168,3566.0,1108233.9840000002,2234619.904,58377.0,0.0,2391503.872,0.0,197959.008,3763.0,2422482.944,659497.9839999999,760177.984,0.0,0.0,896673.0240000001,0.0,103759.0,2375.0,616870.976,612958.976,3709.0,0.0,77.0,126.0,9037376.512,5610138.112000001,2337835.008,2277655.04,9731.0,0.0,30772.0,185487.008,541470.976,0.0,227187.008,2368346.88,794457.984,0.0,593113.024,0.0,0.0,810.0,558392.0,0.0,421574.016,1984.0,0.0,1056908.0320000001,446000.0,59251.0,0.0,538600.0,28.0,13029.0
