,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-12-31,18245.0,252.0,88.0,0.0,0.0,0.0,,75.0,64.0,0.0,0.0,,,,,,,835.0,5225.0,0.0,0.0,12280.0,0.0,,18245.0,428.0,0.0,66.0,0.0,0.0,,,0.0,11817.0,,0.0,0.0,0.0,56.0,0.0,,0.0,,,4492.0,6635.0,10580.0,0.0,,-3945.0,11127.0,0.0,,,
2007-09-30,68574.0,20512.0,20286.0,0.0,0.0,0.0,,80.0,0.0,0.0,0.0,,,,,,,1043.0,7447.0,0.0,0.0,40608.0,0.0,,68574.0,59387.0,56555.0,259.0,0.0,0.0,,,0.0,12566.0,,0.0,0.0,24828.0,72.0,0.0,,0.0,,,4235.0,1849.0,10580.0,0.0,,-8731.0,6084.0,0.0,,,
2007-12-31,2115143.0,1899799.0,1865841.0,0.0,0.0,0.0,,349.0,0.0,0.0,0.0,,,,,,,1005.0,96199.0,0.0,3500.0,104773.0,0.0,,2115143.0,176361.0,163184.0,3163.0,0.0,0.0,,,0.0,12679.0,,0.0,0.0,88991.0,0.0,0.0,,0.0,,,4236.0,1818861.0,1926945.0,0.0,,-108084.0,1823097.0,0.0,,,
2008-03-31,2464287.0,2135245.0,2097709.0,0.0,0.0,0.0,,2321.0,0.0,0.0,0.0,,,,,,,1748.0,183604.0,0.0,3500.0,110090.0,0.0,,2464287.0,210299.0,701.0,6624.0,0.0,49.0,,,0.0,12742.0,,264928.0,264928.0,96271.0,69.0,0.0,,0.0,,,4850.0,1962851.0,2045990.0,0.0,,-83139.0,1967701.0,0.0,,,
2008-06-30,2745650.0,2097483.0,2033432.0,0.0,0.0,1112.0,,56211.0,0.0,0.0,0.0,,,,,,,3396.0,212764.0,0.0,3500.0,397146.0,1112.0,,2745650.0,540618.0,445403.0,5871.0,0.0,53.0,,,0.0,13132.0,,0.0,0.0,381414.0,133.0,0.0,,0.0,,,29839.0,1992132.0,2045990.0,0.0,,-53858.0,2021971.0,0.0,,,
2008-09-30,2904229.0,1876089.0,1828627.0,0.0,0.0,308.0,,40920.0,0.0,0.0,0.0,,,,,,,2624.0,139746.0,0.0,3780.0,776667.0,308.0,,2904229.0,691953.0,538943.0,4253.0,0.0,64.0,,,0.0,1147.0,,0.0,0.0,773860.0,142.0,0.0,,0.0,,,37076.0,2020418.0,2045990.0,0.0,,-25572.0,2057494.0,0.0,,,
2008-12-31,3456922.0,2029012.0,1858792.0,0.0,8576.0,1238.0,,160406.0,0.0,0.0,0.0,,,,,,,4272.0,83565.0,0.0,280.0,1140641.0,1238.0,,3456922.0,1156396.0,882907.0,34238.0,0.0,60.0,,,0.0,85579.0,,0.0,0.0,1052003.0,1515.0,0.0,,0.0,,,46845.0,2095847.0,2041695.0,0.0,,51193.0,2142692.0,0.0,,,
2009-03-31,3734283.0,1967023.0,1839716.0,0.0,36880.0,1016.0,,49839.0,0.0,0.0,0.0,,,,,,,6972.0,62548.0,0.0,280.0,1295409.0,1016.0,,3734283.0,1136152.0,883232.0,15613.0,0.0,107.0,,,0.0,73219.0,,312768.0,312768.0,1218009.0,1072.0,0.0,,0.0,,,45676.0,2103753.0,2041695.0,0.0,,61320.0,2149429.0,0.0,,,
2009-06-30,3474704.0,1725925.0,1612294.0,0.0,4656.0,1108.0,,97848.0,0.0,0.0,38665.0,,,,,,,7868.0,73517.0,0.0,560.0,1461922.0,1108.0,,3474704.0,1317760.0,1087735.0,19707.0,0.0,118.0,,,0.0,83834.0,,0.0,0.0,1373240.0,1331.0,13977.0,,0.0,,,45690.0,2002092.0,2041805.0,0.0,,-18809.0,2047782.0,0.0,,,
2009-09-30,3603511.04,1467676.032,1351849.9840000002,0.0,115421.0,405.0,0.0,0.0,0.0,0.0,429388.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429388.992,560.0,1593042.9440000001,39697.0,73146.0,3603511.04,1278467.9679999999,0.0,22531.0,29615.0,978097.984,2327.0,0.0,166727.008,79170.0,0.0,385192.992,0.0,0.0,45015.0,0.0,0.0,340177.984,0.0,0.0,42462.0,1897388.032,2041805.0559999999,5624.0,0.0,47166.0,-162350.0,-34857.0,0.0,0.0,0.0
