,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-06-30,414387.0,404054.0,14042.0,,226532.0,119436.0,,410918.0,,0.0,0.0,,,15728.0,0.0,,0.0,0.0,,0.0,0.0,7409.0,2102.0,,414387.0,257982.0,,126670.0,471838.0,99205.0,,,0.0,,,53369.0,53369.0,,,,,0.0,,,,88902.0,0.0,0.0,,3286.0,47647.0,0.0,,,
2006-09-30,504570.0,485221.0,11622.0,,265816.0,154858.0,,459147.0,,0.0,0.0,,,20272.0,0.0,,0.0,0.0,,1876.0,0.0,8819.0,9241.0,,504570.0,323908.0,,135815.0,529405.0,159926.0,,,0.0,,,54042.0,54042.0,,,,,0.0,,,,104139.0,0.0,0.0,,4305.0,21061.0,0.0,,,
2006-12-31,776560.0,756652.0,196234.0,,293655.0,208400.0,,450980.0,,0.0,0.0,,,17663.0,0.0,,0.0,0.0,,0.0,0.0,10440.0,9147.0,,776560.0,241866.0,,192551.0,528607.0,27368.0,,,0.0,,,104202.0,104202.0,,,,,0.0,,,,404474.0,0.0,0.0,,3717.0,10896.0,0.0,,,
2007-03-31,767594.0,747401.0,137789.0,,337084.0,211831.0,,473917.0,,0.0,0.0,,,16367.0,0.0,,0.0,0.0,,2709.0,0.0,10726.0,9146.0,,767594.0,234758.0,,173410.0,555350.0,40723.0,,,0.0,,,92928.0,92928.0,,,,,0.0,,,,413023.0,0.0,0.0,,3985.0,19445.0,0.0,,,
2007-06-30,778555.0,757830.0,69432.0,,359473.0,253104.0,,519757.0,,0.0,0.0,,,19650.0,0.0,,0.0,0.0,,4307.0,0.0,11257.0,9147.0,,778555.0,233255.0,,164478.0,609659.0,44208.0,,,0.0,,,93847.0,93847.0,,,,,0.0,,,,424918.0,0.0,0.0,,4671.0,31340.0,0.0,,,
2007-09-30,776509.0,744769.0,20097.0,,395020.0,255046.0,,594197.0,,0.0,0.0,,,21654.0,0.0,,0.0,0.0,,3937.0,0.0,22234.0,9148.0,,776509.0,218948.0,,151071.0,698174.0,39416.0,,,0.0,,,94697.0,94697.0,,,,,0.0,,,,436683.0,0.0,0.0,,6761.0,43105.0,0.0,,,
2007-12-31,924186.0,889954.0,63955.0,,423307.0,313587.0,,626388.0,,0.0,0.0,,,23658.0,0.0,,0.0,187980.0,,0.0,0.0,15431.0,7711.0,,924186.0,283907.0,,231074.0,740440.0,15994.0,,,6545.0,,,171986.0,171986.0,,,,,0.0,,,,443424.0,0.0,0.0,,948.0,49846.0,6445.0,,,
2008-03-31,863881.0,827813.0,33146.0,,395636.0,294832.0,,599726.0,,5245.0,0.0,,,30303.0,0.0,,0.0,157974.0,,2637.0,0.0,15765.0,10702.0,,863881.0,242205.0,,183231.0,700930.0,15602.0,,,6921.0,,,142372.0,142372.0,,,,,0.0,,,,454956.0,0.0,0.0,,412.0,61378.0,6842.0,,,
2008-06-30,905031.0,866981.0,44627.0,,406422.0,295117.0,,628973.0,,0.0,3340.0,,,21957.0,0.0,,0.0,207906.0,,3014.0,0.0,17455.0,7362.0,,905031.0,271058.0,,179020.0,741200.0,63298.0,,,7274.0,,,144608.0,144608.0,,,,,0.0,,,,457294.0,0.0,0.0,,384.0,63716.0,7849.0,,,
2008-09-30,928543.0,890237.0,53737.0,,409461.0,294920.0,,663701.0,,0.0,3340.0,,,31587.0,0.0,,0.0,208218.0,,233.0,0.0,17700.0,7362.0,,928542.0,290172.0,,192010.0,783403.0,58968.0,,,7301.0,,,149251.0,149251.0,,,,,0.0,,,,455235.0,0.0,0.0,,381.0,64820.0,8304.0,,,
