,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
1999-12-31,2315436.0,2418595.0,477991.0,,523447.0,538197.0,,78200.0,,0.0,4908.0,,,29448.0,0.0,,0.0,1491118.0,9.486999999999999e-05,506602.0,0.0,0.0,0.0,,5154220.0,1574147.0,936891.0,851979.0,0.0,61937.0,228814.0,15957.0,64409.0,,0.0,9469.0,936891.0,,0.0,0.0,,30570.0,,0.0,0.0,29499.0,125717.51,1283.0,,0.0,112885.0,,,1198598.0,
2000-03-31,2373381.0,2066002.0,341746.0,,484809.0,522694.0,,99525.0,,0.0,4477.0,,,42756.0,0.0,,0.0,1506918.0,0.0,464334.0,0.0,0.0,0.0,,4949666.0,1239386.0,951256.0,577324.0,0.0,24032.0,227536.0,15957.0,63767.0,,0.0,8716.0,951256.0,,0.0,0.0,,44601.0,,0.0,0.0,8348.0,125717.51,1114.0,,0.0,50493.0,,,901126.0,
2000-06-30,2452475.0,1869905.0,421143.0,,556891.0,590524.0,,112704.0,,0.0,4477.0,,,69270.0,0.0,,0.0,1513668.0,0.0,531943.0,0.0,0.0,0.0,,5281482.0,1433555.0,974044.0,605754.0,0.0,29047.0,438148.0,1721.0,76619.0,,0.0,6846.0,974044.0,,0.0,0.0,,48171.0,,0.0,0.0,-17134.0,125717.51,1401.0,,0.0,55211.0,,,566262.0,
2000-09-30,3017712.0,2000102.0,571283.0,,681592.0,697793.0,,133415.0,,0.0,4477.0,,,73646.0,0.0,,0.0,1988663.0,0.0,653492.0,0.0,0.0,0.0,,5740817.0,1731376.0,515258.0,750107.0,0.0,50637.0,448393.0,20.0,87277.0,,0.0,6440.0,515258.0,,0.0,0.0,,56138.0,,0.0,0.0,13967.0,125717.51,-1194.0,,0.0,104209.0,,,426243.0,
2000-12-31,2962603.0,2685105.0,865554.0,,918939.0,795477.0,,85217.0,,0.0,4479.0,,,87059.0,0.0,,0.0,2001033.0,0.00037449,888123.0,0.0,0.0,0.0,,6691053.0,2358855.0,785005.0,1047470.0,0.0,126950.0,480829.0,80135.0,82734.0,,50323.0,6037.0,785005.0,,0.0,0.0,,60568.0,,0.0,0.0,-22006.0,125717.51,7030.0,,0.0,105514.0,,,765087.0,
2001-03-31,3014664.0,2332816.0,846188.0,,885603.0,763380.0,,0.0,,0.0,4477.0,,,73080.0,0.0,,0.0,2001113.0,0.0,847086.0,0.0,0.0,0.0,,6321322.0,1896106.0,800657.0,655413.0,0.0,58967.0,92242.0,80135.0,81862.0,,41357.0,5824.0,800657.0,,0.0,0.0,,52987.0,,0.0,0.0,15271.27,125717.51,1146.0,,0.0,72815.0,,,513725.0,
2001-06-30,3298896.0,2051123.0,747155.0,,870510.0,570003.0,,0.0,,0.0,4477.0,,,64513.0,0.0,,0.0,2244136.0,0.0,830988.0,0.0,0.0,0.0,,6083532.0,1582220.0,634515.0,542978.0,0.0,55745.0,108923.0,0.0,94365.0,,18149.0,2161.0,634515.0,,0.0,0.0,,52075.0,,0.0,0.0,5226.0,126941.62,144.0,,0.0,46435.0,,,351281.0,
2001-09-30,3340793.0,2224171.0,1032658.0,,854705.0,587520.0,,0.0,,0.0,-1048.0,,,71186.0,0.0,,0.0,2244136.0,0.0,808162.0,0.0,0.0,0.0,,6338231.0,1800110.0,651867.0,551108.0,0.0,74713.0,113563.0,0.0,96379.0,,18149.0,1331.0,651867.0,,0.0,0.0,,54035.0,,0.0,0.0,841.0,126941.62,658.0,,0.0,42738.0,,,507086.0,
2001-12-31,3403890.0,2886731.0,1241594.0,,1017350.0,686103.0,,0.0,,0.0,7009.0,,,105067.0,0.0,,0.0,2252361.0,0.00026962000000000004,975587.0,0.0,0.0,0.0,,7281139.0,2380520.0,858220.0,813525.0,0.0,137418.0,123884.0,60774.0,101267.0,,0.0,89048.0,858220.0,,0.0,0.0,,58987.0,,0.0,0.0,-2041.0,126941.62,-97.0,,0.0,113605.0,,,910671.0,
2002-03-31,3459687.0,2880501.0,1255407.0,,1051656.0,633234.0,,100298.0,,0.0,5576.0,,,122880.0,0.0,,0.0,2252361.0,0.0,1020618.0,0.0,0.0,0.0,,7299494.0,2230136.0,894102.0,676985.0,0.0,116536.0,122173.0,60774.0,95277.0,,0.0,94015.0,894102.0,,0.0,0.0,,59812.0,,0.0,0.0,8097.0,126941.62,509.0,,0.0,63894.0,,,922005.0,
