,Ativo Total,Ativo Circulante,Disponibilidades,Aplicações Interfinanceiras de Liquidez,Títulos e Valores Mobiliários,Relações Interfinanceiras,Relações Interdependências,Operações de Crédito,Operações de Arrendamento Mercantil,Outros Créditos,Outros Valores e Bens,Ativo Realizável a Longo Prazo,Aplicações Interfinanceiras de Liquidez.1,Títulos e Valores Mobiliários.1,Relações Interfinanceiras.1,Relações Interdependências.1,Operações de Crédito.1,Operações de Arrendamento Mercantil.1,Outros Créditos.1,Outros Valores e Bens.1,Ativo Permanente,Investimentos,Imobilizado de Uso,Imobilizado de Arrendamento,Intangível,Diferido,Passivo Total,Passivo Circulante,Depósitos,Captações no Mercado Aberto,Recursos de Aceites e Emissão de Títulos,Relações Interfinanceiras.2,Relações Interdependências.2,Obrigações por Empréstimos,Obrigações por Repasse do País,Obrigações por Repasse do Exterior,Outras Obrigações,Passivo Exigível a Longo Prazo,Depósitos.1,Captações no Mercado Aberto.1,Recursos de Aceites e Emissão de Títulos.1,Relações Interfinanceiras.3,Relações Interdependências.3,Obrigações por Empréstimos.1,Obrigações por Repasse do País.1,Obrigações por Repasse do Exterior.1,Outras Obrigações.1,Resultados de Exercícios Futuros,Part. de Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucro,Ajustes de Avaliação Patrimonial,Lucros/Prejuízos Acumulados,Receitas da Intermediação Financeira,Despesas da Intermediação Financeira,Resultado Bruto Intermediação Financeira,Outras Despesas/Receitas Operacionais,Receitas de Prestação de Serviços,Despesas de Pessoal,Outras Despesas Administrativas,Despesas Tributárias,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Resultado Operacional,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores.1,Lucro/Prejuízo do Período
2002-12-31,1076518.0,0.0,1607.0,0.0,0.0,1076518.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,261095.0,,0.0,0.0,815423.0,73280.0,6.678e-05,,0.0,,138.83,0.0,-3860.0,,,,,,73280.0,,0.0,2690.0,2690.0,,,,,,0.0,,0.0,105765.9,,261095.0,102500.0,59439.01,,158595.0,,0.0,0.0,8192.0,11964.0,0.0,-76.0,9.125e-05,11964.0,8.709e-05,9274.0,8.709e-05,,9198.0,0.0,0.0,9274.0,9198.0,9274.0,8.709e-05,9198.0,,,9198.0
2003-03-31,1053630.0,0.0,1537.0,0.0,0.0,1053630.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,268341.0,,0.0,0.0,785289.0,69181.0,0.0,,0.0,,138.83,0.0,-3819.0,,,,,,69181.0,,0.0,4275.0,4275.0,,,,,,0.0,,0.0,105765.9,,268341.0,112000.0,59439.01,,156341.0,,0.0,0.0,0.0,11917.0,0.0,-397.0,0.0,11917.0,6.850000000000001e-05,7642.0,6.850000000000001e-05,,7245.0,0.0,0.0,7642.0,7245.0,7642.0,6.850000000000001e-05,7245.0,,,7245.0
2003-06-30,1005205.0,0.0,1455.0,0.0,0.0,1005205.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,272009.0,,0.0,0.0,733196.0,66853.0,0.0,,0.0,,138.83,0.0,-4256.0,,,,,,66853.0,,0.0,3500.0,3500.0,,,,,,0.0,,0.0,105765.9,,272009.0,112000.0,59439.01,,160009.0,,0.0,0.0,0.0,11756.0,0.0,-353.0,0.0,11756.0,7.472e-05,8256.0,7.472e-05,,7903.0,0.0,0.0,8256.0,7903.0,8256.0,7.472e-05,7903.0,,,7903.0
2003-09-30,1153136.0,0.0,1426.0,0.0,0.0,1153136.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,281594.0,,0.0,0.0,871542.0,69464.0,0.0,,0.0,,138.83,0.0,-4982.0,,,,,,69464.0,,0.0,5058.0,5058.0,,,,,,0.0,,0.0,105765.9,,281594.0,112000.0,59439.01,,169594.0,,0.0,0.0,0.0,15005.0,0.0,-362.0,0.0,15005.0,9.062000000000001e-05,9947.0,9.062000000000001e-05,,9585.0,0.0,0.0,9947.0,9585.0,9947.0,9.062000000000001e-05,9585.0,,,9585.0
2003-12-31,1311243.0,0.0,1348.0,0.0,0.0,1311243.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,285961.0,,0.0,0.0,1025282.0,71799.0,8.46e-05,,0.0,,0.0,0.0,-4911.0,,,,,,71799.0,,0.0,2763.0,2763.0,,,,,,0.0,,0.0,105765.9,,285961.0,112000.0,59439.01,,173961.0,,0.0,0.0,9647.0,12840.0,0.0,-297.0,9.97e-05,12840.0,9.247e-05,10077.0,9.247e-05,,9780.0,0.0,0.0,10077.0,9780.0,10077.0,9.247e-05,9780.0,,,9780.0
2004-03-31,1301587.0,0.0,1241.0,0.0,0.0,1301587.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,295592.0,,0.0,0.0,1005995.0,101498.0,0.0,,0.0,,0.0,0.0,-5195.0,,,,,,101498.0,,0.0,4789.0,4789.0,,,,,,0.0,,0.0,105765.9,,295592.0,125000.0,59439.01,,170592.0,,0.0,0.0,0.0,14833.0,0.0,-414.0,0.0,14833.0,9.105e-05,10044.0,9.105e-05,,9630.0,0.0,0.0,10044.0,9630.0,10044.0,9.105e-05,9630.0,,,9630.0
2004-06-30,1450285.0,0.0,1145.0,0.0,0.0,1450285.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,302221.0,,0.0,0.0,1148064.0,59616.0,5.435e-05,,0.0,,0.0,0.0,-5426.0,,,,,,59616.0,,0.0,3076.0,3076.0,,,,,,0.0,,0.0,105765.9,,302221.0,125000.0,59439.01,,177221.0,,0.0,0.0,6000.0,15258.0,0.0,-374.0,5.979e-05,15258.0,0.00011164000000000001,12182.0,0.00011164000000000001,,11808.0,0.0,0.0,12182.0,11808.0,12182.0,0.00011164000000000001,11808.0,,,11808.0
2004-09-30,1530510.0,0.0,1200.0,0.0,0.0,1530510.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,313245.0,,0.0,0.0,1217265.0,64993.0,0.0,,0.0,,0.0,0.0,-5579.0,,,,,,64993.0,,0.0,5031.0,5031.0,,,,,,0.0,,0.0,105765.9,,313245.0,125000.0,59439.01,,188245.0,,0.0,0.0,0.0,16445.0,0.0,-390.0,0.0,16445.0,0.00010423,11414.0,0.00010423,,11024.0,0.0,0.0,11414.0,11024.0,11414.0,0.00010423,11024.0,,,11024.0
2004-12-31,1371436.0,0.0,1184.0,405.0,0.0,1371436.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,320684.0,,0.0,0.0,1050752.0,62234.0,0.0,,0.0,,0.0,0.0,-6105.0,,,,,,62234.0,,0.0,3775.0,3775.0,,,,,,0.0,,0.0,105765.9,,320684.0,125000.0,59439.01,,195684.0,,0.0,0.0,0.0,18446.0,0.0,-427.0,0.0,18446.0,0.00013467,14671.0,0.00013467,,14244.0,0.0,0.0,14671.0,14244.0,14671.0,0.00013467,14244.0,,,14244.0
2005-03-31,1355688.0,0.0,1178.0,422.0,0.0,1355688.0,46326.9,0.0,,0.0,0.0,0.0,,0.0,,,332311.0,,0.0,0.0,1023377.0,59271.0,0.0,,0.0,,0.0,0.0,-6249.0,,,,,,59271.0,,0.0,5602.0,5602.0,,,,,,0.0,,0.0,105765.9,,332311.0,125000.0,59439.01,,207311.0,,0.0,0.0,0.0,16983.0,0.0,-439.0,0.0,16983.0,0.00010345,11381.0,0.00010345,,10942.0,0.0,0.0,11381.0,10942.0,11381.0,0.00010345,10942.0,,,10942.0
