,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2016-09-30,209115.0,1062000.0,271734.0,58362.0,731044.0,109516.0,,-440239.0,0.0,7018168.0,980819.0,623144.0,,0.0,1488601.0,,,300.0,0.0,493056.0,,267300.0,944467.0,,3426517.0,0.0,2874194.0,944467.0,72397.0,65299.0,,,267300.0,254571.23,,8020092.0,5200.0,,8020092.0,300.0,,9079.0,,,,124670.0,1666707.0,1113063.0,,,14900.0,,,-46438.0,,,,1736800.0,14900.0,1001924.0,9400.0,9400.0,,,,,-151200.0,1001924.0,0.0,,,,3.894e-05,2874194.0,73979.0,,,,9400.0
2016-12-31,8400409.088,1910326.0159999998,549164.032,384616.0,673275.0079999999,107102.0,0.0,44488.0,97501.0,54180.0,2107486.976,861830.016,0.0,0.0,0.0,0.0,0.0,6907.0,9180.0,1229570.048,0.0,3439980.0319999997,942616.0,0.0,8400409.088,3617643.008,186474.0,1034316.9920000001,64830.0,985238.016,0.0,0.0,1346784.0,0.0,0.0,3780779.008,3049256.96,0.0,473707.008,181462.0,0.0,76353.0,0.0,0.0,0.0,1001987.0079999999,1488600.96,1290966.0159999998,0.0,0.0,-1743794.9440000001,0.0,0.0,-33785.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,8069520.896000001,1695544.96,434969.984,284684.99199999997,622468.9920000001,114835.0,0.0,54723.0,110186.0,73677.0,2043042.0480000002,797640.0,0.0,0.0,0.0,0.0,0.0,7204.0,9010.0,1229187.9679999999,0.0,3388264.96,942668.9920000001,0.0,8069520.896000001,3584167.936,201484.0,1033924.9920000001,34014.0,1019473.984,0.0,0.0,1295271.04,0.0,0.0,3426251.008,2696410.1119999997,0.0,451991.008,202195.008,0.0,75655.0,0.0,0.0,0.0,1059102.0159999998,1488600.96,1292158.976,0.0,0.0,-1688498.0480000002,0.0,0.0,-33160.0,0.0,0.0,0.0,1873793.024,-1464577.024,409216.0,-73735.0,-130269.0,0.0,0.0,0.0,0.0,-144714.0,19818.0,-164532.0,0.0,0.0,0.0,60498.0,8466.0,-13667.0,0.0,0.0,0.0,55297.0
2017-06-30,9184295.936,2639741.952,500913.984,973243.0079999999,778632.0,129615.0,0.0,87298.0,91038.0,79002.0,2108755.9680000003,773068.9920000001,0.0,0.0,0.0,0.0,0.0,6865.0,9508.0,1319314.048,0.0,3483708.9280000003,952089.0240000001,0.0,9184295.936,3625779.9680000003,222524.992,897102.9759999999,32501.0,1101159.936,26007.0,0.0,1346483.968,0.0,0.0,3270341.8880000003,2540691.9680000003,0.0,432414.016,223008.0,0.0,74228.0,0.0,0.0,0.0,2288174.08,2150100.992,1874972.032,0.0,0.0,-1722445.0559999999,0.0,0.0,-14454.0,0.0,0.0,0.0,1723256.064,-1420332.032,302924.0,-73645.0,-124351.0,0.0,0.0,0.0,0.0,-149411.008,41830.0,-191240.992,0.0,0.0,0.0,-44483.0,-173.0,10709.0,0.0,0.0,0.0,-33947.0
2017-09-30,9009838.08,2663008.0,485864.0,971654.9759999999,810032.0,134432.992,0.0,102417.0,88455.0,70152.0,2142078.976,807753.0240000001,0.0,0.0,0.0,0.0,0.0,0.0,9179.0,1325147.008,0.0,3254405.8880000003,950345.0240000001,0.0,9009838.08,3806827.008,245512.0,874284.9920000001,31430.0,1011118.9759999999,0.0,0.0,1644481.024,0.0,0.0,2685445.12,1893844.9919999999,0.0,466393.984,249075.008,0.0,76131.0,0.0,0.0,0.0,2517565.952,2156290.048,1892573.0559999999,0.0,0.0,-1518413.0559999999,0.0,0.0,-12884.0,0.0,0.0,0.0,1998189.0559999999,-1494347.0080000001,503841.984,-86371.0,-168187.008,0.0,0.0,0.0,0.0,-45411.0,95739.0,-141150.0,0.0,0.0,0.0,203872.992,-1824.0,1983.0,0.0,0.0,0.0,204032.0
2017-12-31,10316615.68,3304340.992,762318.9759999999,1044956.032,914428.032,150392.992,0.0,112891.0,109784.0,209570.0,2725740.0319999997,835956.9920000001,0.0,0.0,0.0,0.0,0.0,4472.0,9711.0,1875600.0,0.0,3325534.9760000003,961000.0,0.0,10316615.68,3334356.992,246336.0,953534.016,44418.0,568233.9839999999,0.0,0.0,1521835.0080000001,0.0,0.0,4148648.96,2921652.992,0.0,826886.9759999999,326911.00800000003,0.0,73198.0,0.0,0.0,0.0,2833609.9839999997,2163376.8959999997,1896180.9919999999,0.0,0.0,-1214755.9679999999,0.0,0.0,-11192.0,0.0,0.0,0.0,2194258.432,-1604126.208,590132.9920000001,-94176.0,-190359.968,0.0,0.0,0.0,0.0,72359.008,189640.016,-117281.056,0.0,0.0,0.0,377955.968,-3594.0,-70705.0,0.0,0.0,0.0,303657.024
2018-03-31,10401317.888,3103513.088,738940.032,631619.968,1166112.0,175138.0,0.0,108542.0,104650.0,178511.008,3041099.008,906395.0079999999,0.0,0.0,0.0,0.0,0.0,9263.0,9894.0,2115547.008,0.0,3296037.12,960668.9920000001,0.0,10401317.888,3316581.8880000003,250416.992,947704.0,29945.0,581566.0160000001,0.0,0.0,1506950.0159999998,0.0,0.0,4066019.0719999997,2806036.992,0.0,818371.0079999999,364292.992,0.0,77318.0,0.0,0.0,0.0,3018716.9280000003,2182513.92,1891309.9519999998,0.0,0.0,-1045945.984,0.0,0.0,-9161.0,0.0,0.0,0.0,2213400.0640000002,-1689086.976,524312.9920000001,-88896.0,-159491.008,0.0,0.0,0.0,0.0,-5841.0,83810.0,-89651.0,0.0,0.0,0.0,270084.99199999997,-1324.0,-58216.0,0.0,0.0,0.0,210544.992
2018-06-30,10963489.792000001,3423943.936,848961.0240000001,725835.0079999999,1175689.9840000002,171464.992,0.0,176974.0,103279.0,221740.0,3422871.04,1090710.0159999998,0.0,0.0,0.0,0.0,0.0,0.0,16631.0,11658.0,0.0,3144578.048,972097.0240000001,0.0,10963489.792000001,3620933.12,253792.992,1097869.0559999999,29749.0,542304.0,0.0,0.0,1697218.0480000002,0.0,0.0,4477192.192,3292212.992,0.0,752508.9920000001,351931.008,0.0,80539.0,0.0,0.0,0.0,2865364.992,2204883.9680000003,1887302.0159999998,0.0,0.0,-1090951.936,0.0,0.0,-135868.992,0.0,0.0,0.0,2017875.968,-1970984.96,46891.0,-82604.0,-171806.0,0.0,0.0,0.0,0.0,188438.0,434243.008,-245804.992,0.0,0.0,0.0,-19081.0,292.0,-26217.0,0.0,0.0,0.0,-45006.0
2018-09-30,11448014.848,3623930.1119999997,893676.032,667619.968,1340771.9679999999,198368.992,0.0,257660.992,127651.0,138180.992,3683767.04,1215719.936,0.0,0.0,0.0,0.0,0.0,0.0,19950.0,12325.0,0.0,3142283.008,998035.0079999999,0.0,11448014.848,3866515.9680000003,301150.016,1197591.04,33545.0,435751.008,0.0,0.0,1898478.976,0.0,0.0,4631748.096,3317420.0319999997,0.0,830147.968,398276.0,0.0,85904.0,0.0,0.0,0.0,2949751.04,2205161.984,1890596.9919999999,0.0,0.0,-974382.9759999999,0.0,0.0,-171624.992,0.0,0.0,0.0,2441650.944,-1984156.032,457495.008,-104295.0,-179092.992,0.0,0.0,0.0,0.0,1478.0,142474.0,-140996.0,0.0,0.0,0.0,175584.992,-1503.0,-57513.0,0.0,0.0,0.0,116569.0
2018-12-31,11793206.272,3521797.8880000003,1169136.0,517423.008,1069056.0,200144.992,0.0,283840.99199999997,163828.992,118368.0,3965633.0239999997,1287780.992,0.0,0.0,0.0,0.0,0.0,21683.0,0.0,2656168.96,0.0,3289219.0719999997,1016556.032,0.0,11793206.272,4056794.1119999997,244008.0,1166290.9440000001,56999.0,335051.00800000003,0.0,0.0,2254445.056,0.0,0.0,4572711.936000001,3370970.88,0.0,676862.9759999999,443894.016,0.0,80984.0,0.0,0.0,0.0,3163699.9680000003,2209414.912,1907822.976,0.0,0.0,-836214.016,0.0,0.0,-117324.0,0.0,0.0,0.0,2480429.568,-1911885.824,568544.0,-111078.976,-174531.008,0.0,0.0,0.0,0.0,-107418.008,21043.007999999998,-128461.024,0.0,0.0,0.0,175516.032,-8689.0,-28658.0,0.0,0.0,0.0,138168.992
