,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2010-12-31,521803.008,251964.0,127529.0,0.0,88484.0,1258.0,0.0,0.0,34693.0,0.0,109152.0,0.0,0.0,2846.0,0.0,0.0,92603.0,639.0,13064.0,0.0,0.0,23452.0,137235.008,0.0,521803.008,219460.992,9291.0,36475.0,17423.0,19026.0,0.0,0.0,129752.0,7494.0,0.0,169024.0,131250.0,0.0,1313.0,1429.0,0.0,35032.0,0.0,0.0,2083.0,131235.0,36462.0,0.0,1726.0,90135.0,0.0,2912.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,520.726,258.471,120.331,0.0,82.42200000000001,1.281,0.0,0.0,54.437,0.0,101.124,0.0,0.0,3.195,0.0,0.0,92.395,0.513,5.021,0.0,0.0,24.090999999999998,137.04,0.0,520.726,268.719,7.135,45.396,14.487,37.804,0.0,0.0,156.54,7.357,0.0,147.279,112.5,0.0,1.284,1.5619999999999998,0.0,31.933000000000003,0.0,0.0,2.1319999999999997,102.596,49.537,0.0,0.0,51.262,0.8390000000000001,0.958,0.0,0.0,0.0,0.0,0.0,82.07,-58.433,23.636999999999997,-1.8940000000000001,-19.916,0.0,3.747,0.0,0.0,-3.1860000000000004,2.6660000000000004,-5.852,0.0,0.0,0.0,2.388,-1.261,-0.239,0.0,0.0,-0.049,0.8390000000000001
2011-06-30,622334.976,373840.0,262700.99199999997,0.0,88025.0,1332.0,0.0,0.0,21782.0,0.0,86294.0,0.0,0.0,3885.0,0.0,0.0,77341.0,455.0,4613.0,0.0,0.0,25501.0,136700.0,0.0,622334.976,184452.0,9230.0,45484.0,11988.0,37736.0,0.0,0.0,72917.0,7097.0,0.0,142984.0,112500.0,0.0,1274.0,1716.0,0.0,27494.0,0.0,0.0,2675.0,292224.00800000003,227619.008,3626.0,0.0,60433.0,0.0,546.0,0.0,0.0,0.0,0.0,0.0,184311.008,-132670.0,51641.0,-651.0,-23768.0,0.0,633.0,0.0,0.0,2990.0,10338.0,-7348.0,0.0,0.0,0.0,30845.0,-1995.0,-19975.0,0.0,0.0,-543.0,8332.0
2011-09-30,717739.0079999999,462134.016,287040.99199999997,0.0,130132.0,2414.0,0.0,0.0,42547.0,0.0,84607.0,0.0,0.0,4486.0,0.0,0.0,72729.0,890.0,6502.0,0.0,0.0,33281.0,137716.992,0.0,717739.0079999999,278535.00800000003,11011.0,55444.0,11767.0,37774.0,0.0,0.0,155696.992,6842.0,0.0,122283.0,93750.0,0.0,0.0,1217.0,0.0,27316.0,0.0,0.0,2983.0,313937.99199999997,228620.0,4174.0,0.0,77732.0,0.0,3412.0,0.0,0.0,0.0,0.0,0.0,111514.0,-71660.0,39854.0,-1260.0,-22138.0,0.0,3262.0,0.0,0.0,3570.0,7619.0,-4049.0,0.0,0.0,0.0,23288.0,-1108.0,-4573.0,0.0,0.0,-308.0,17299.0
2011-12-31,673897.984,421511.008,277734.016,0.0,88905.0,2352.0,0.0,0.0,52520.0,0.0,74119.0,4101.0,0.0,0.0,0.0,0.0,62062.0,627.0,7329.0,0.0,0.0,39590.0,138678.0,0.0,673897.984,213314.0,10466.0,45379.0,16197.0,41931.0,0.0,0.0,96159.0,3182.0,0.0,122556.0,93750.0,0.0,0.0,1447.0,0.0,27359.0,0.0,0.0,2851.0,335177.0,228459.008,4258.0,1589.0,95473.0,0.0,5398.0,0.0,0.0,0.0,0.0,0.0,313917.92,-218527.568,95390.352,-4056.1059999999998,-44482.084,0.0,7778.253000000001,0.0,0.0,-1849.8139999999999,11356.333999999999,-13206.148000000001,0.0,0.0,0.0,52780.612,-7058.7390000000005,-11133.76,0.0,0.0,-154.951,34433.16
2012-03-31,661347.0079999999,397177.984,217695.008,0.0,108185.0,1957.0,0.0,0.0,69341.0,0.0,72285.0,0.0,0.0,4019.0,0.0,0.0,59365.0,341.0,8560.0,0.0,0.0,51520.0,140364.0,0.0,661347.0079999999,209210.0,10158.0,49517.0,15948.0,37697.0,4000.0,0.0,89554.0,2336.0,0.0,105894.0,75000.0,0.0,0.0,3505.0,0.0,27389.0,0.0,0.0,9654.0,336589.008,238124.0,4337.0,1563.0,86895.0,0.0,5670.0,0.0,0.0,0.0,0.0,0.0,106334.0,-76845.0,29489.0,-1271.0,-22071.0,0.0,-149.0,0.0,0.0,-1918.0,6057.0,-7975.0,0.0,0.0,0.0,4080.0,-703.0,-2228.0,0.0,0.0,-88.0,1061.0
2012-06-30,749035.0079999999,487918.016,219848.0,0.0,169836.992,1843.0,0.0,0.0,96390.0,0.0,69231.0,0.0,0.0,4105.0,0.0,0.0,55903.0,102.0,9121.0,0.0,0.0,51066.0,140820.0,0.0,749035.0079999999,276209.984,7523.0,50259.0,13910.0,51281.0,0.0,0.0,151464.992,1772.0,0.0,107549.0,75000.0,0.0,0.0,2534.0,0.0,30015.0,0.0,0.0,9718.0,355558.0,238124.0,4415.0,1516.0,100444.0,0.0,11059.0,0.0,0.0,0.0,0.0,0.0,190731.008,-141552.992,49178.0,-2612.0,-23406.0,0.0,-518.0,0.0,0.0,-1721.0,4135.0,-5856.0,0.0,0.0,0.0,20921.0,-4689.0,-2666.0,0.0,0.0,-64.0,13502.0
2012-09-30,782411.0079999999,523820.992,214895.008,0.0,168060.992,1675.0,0.0,0.0,139190.0,0.0,67381.0,0.0,0.0,4925.0,0.0,0.0,54587.0,101.0,7768.0,0.0,0.0,50375.0,140834.0,0.0,782411.0079999999,306516.0,8321.0,59000.0,13634.0,55570.0,0.0,0.0,168895.008,1096.0,0.0,88188.0,56250.0,0.0,0.0,2368.0,0.0,29570.0,0.0,0.0,10615.0,377092.008,243022.0,4535.0,1487.0,85902.0,26210.0,15936.0,0.0,0.0,0.0,0.0,0.0,137672.0,-94911.0,42761.0,-1013.0,-22875.0,0.0,1203.0,0.0,0.0,-4226.0,3534.0,-7760.0,0.0,0.0,0.0,15850.0,-2247.0,-1059.0,0.0,0.0,-897.0,11647.0
2012-12-31,619755.0079999999,330863.00800000003,163286.0,0.0,142620.0,1397.0,0.0,0.0,23560.0,0.0,99263.0,5746.0,0.0,0.0,0.0,0.0,81066.0,3525.0,8926.0,0.0,0.0,48830.0,140799.008,0.0,619755.0079999999,179652.992,5781.0,60255.0,20246.0,54100.0,0.0,0.0,38813.0,458.0,0.0,85659.0,56250.0,0.0,0.0,2201.0,0.0,27208.0,0.0,0.0,10843.0,343600.008,243022.0,4720.0,1441.0,80213.0,0.0,14204.0,0.0,0.0,0.0,0.0,0.0,259499.008,-286145.984,-26647.0,-1889.0,-26239.0,0.0,1343.0,0.0,0.0,-3198.0,3829.0,-7027.0,0.0,0.0,0.0,-56630.0,-1507.0,26921.0,0.0,0.0,-729.0,-31945.0
2013-03-31,601651.968,311708.99199999997,139896.0,0.0,148324.0,2036.0,0.0,0.0,21453.0,0.0,101114.0,5680.0,0.0,0.0,0.0,0.0,83166.0,3197.0,9071.0,0.0,0.0,48493.0,140336.0,0.0,601651.968,198011.008,6421.0,51251.0,13346.0,59976.0,0.0,0.0,66474.0,543.0,0.0,66005.0,37500.0,0.0,0.0,2035.0,0.0,26470.0,0.0,0.0,10579.0,327057.0,243022.0,4909.0,1417.0,80237.0,-15709.0,13181.0,0.0,0.0,0.0,0.0,0.0,59068.0,-51335.0,7733.0,-918.0,-22504.0,0.0,500.0,0.0,0.0,-2725.0,2047.0,-4772.0,0.0,0.0,0.0,-17914.0,-678.0,2619.0,0.0,0.0,264.0,-15709.0
