,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2007-03-31,418410.0,164958.0,89544.0,0.0,43962.0,23543.0,,0.0,,4239.0,5109.0,,,0.0,0.0,0.0,8865.0,,,0.0,41059.0,28033.0,0.0,,418410.0,87241.0,0.0,22790.0,0.0,41738.0,,776.0,6150.0,,,161037.0,161037.0,,0.0,7308.0,,6339.0,,,1.0,120919.0,0.0,321.0,,57537.0,1.0,0.0,,,,,,0.0,120918.0,8.300000000000001e-07,-20500.0,4711.0,0.0,297492.0,21139.0,,55400.0,4882.0,0.0,,,,0.0,14590.0,0.0,,,,8.300000000000001e-07
2007-06-30,419447.0,151226.0,66180.0,0.0,53620.0,25003.0,,0.0,,4280.0,7426.0,,,0.0,0.0,0.0,6881.0,,,0.0,39892.0,28033.0,0.0,,419447.0,99447.0,0.0,27382.0,0.0,48907.0,,0.0,8339.0,,,147537.0,147537.0,,0.0,7531.0,,6267.0,,,1.0,125954.0,0.0,262.0,,62893.0,1.0,0.0,,,,,,0.0,125953.0,2.2e-06,-21948.0,10017.0,0.0,293494.0,14964.0,,55455.0,5652.0,0.0,,,,0.0,16865.0,0.0,,,,2.2e-06
2007-09-30,430276.0,141645.0,54792.0,0.0,50479.0,29580.0,,0.0,,4462.0,14885.0,,,0.0,0.0,0.0,8177.0,,,0.0,38844.0,28033.0,0.0,,430276.0,109880.0,206834.0,25169.0,0.0,63253.0,,0.0,5890.0,,,147521.0,147521.0,,0.0,6547.0,,6308.0,,,1.0,128939.0,0.0,195.0,,65878.0,1.0,0.0,,,,,,0.0,128938.0,1.2299999999999999e-06,-22703.0,5767.0,0.0,301338.0,30602.0,,55561.0,6697.0,0.0,,,,0.0,17738.0,0.0,,,,1.2299999999999999e-06
2007-12-31,479991.0,148401.0,59542.0,0.0,57513.0,31346.0,,0.0,,0.0,15548.0,,,1.62e-06,0.0,3.29e-05,14040.0,,,0.0,0.0,0.0,37736.0,,479991.0,126148.0,239161.0,34224.0,0.0,70496.0,,74.0,6888.0,,,174303.0,174303.0,,0.0,7657.0,,46400.0,,,4.0,100940.0,0.0,0.0,,37876.0,4.0,0.0,,,,,,-3942.0,100936.0,2.5e-07,-24796.0,1571.0,1.0,379055.0,0.0,,0.0,0.0,0.0,,,,0.0,17365.0,0.0,,,,2.5e-07
2008-03-31,490225.0,122660.0,26680.0,0.0,48429.0,35369.0,,0.0,,12182.0,5262.0,,,0.0,0.0,0.0,15229.0,,,7511.0,0.0,28033.0,36688.0,,490225.0,148213.0,253065.0,34602.0,2390.0,90761.0,,74.0,7033.0,,,168818.0,168818.0,,0.0,7995.0,,48912.0,,,1.0,100942.0,0.0,0.0,,37560.0,1.0,0.0,,,,,,-1091.0,100941.0,2e-08,-22201.0,368.0,4.0,389284.0,13007.0,,57271.0,0.0,0.0,,,,0.0,17581.0,0.0,,,,2e-08
2008-06-30,524651.0,116468.0,14785.0,0.0,51818.0,31186.0,,0.0,,18679.0,5521.0,,,0.0,0.0,0.0,20928.0,,,8390.0,0.0,28033.0,35640.0,,524651.0,182371.0,266746.0,45181.0,2323.0,110710.0,,0.0,5120.0,,,162660.0,162660.0,,0.0,8355.0,,50291.0,,,-3.0,108806.0,0.0,0.0,,45428.0,-3.0,0.0,,,,,,-747.0,108809.0,2.47e-06,-24457.0,11833.0,4.0,415842.0,9900.0,,57465.0,0.0,0.0,,,,0.0,20183.0,0.0,,,,2.47e-06
2008-09-30,530615.0,113552.0,390.0,0.0,54149.0,33966.0,,0.0,,21833.0,8575.0,,,0.0,0.0,0.0,15984.0,,,8160.0,0.0,28033.0,34592.0,,530615.0,198598.0,308236.0,39360.0,2276.0,133903.0,,0.0,4969.0,,,181008.0,181008.0,,0.0,8926.0,,51805.0,,,2.0,81055.0,0.0,0.0,,17672.0,2.0,0.0,,,,,,-8380.0,81053.0,-8.750000000000001e-06,-26811.0,-42707.0,6.0,449562.0,4895.0,,63187.0,3688.0,0.0,,,,0.0,20150.0,0.0,,,,-8.750000000000001e-06
2008-12-31,563539.0,114914.0,1370.0,0.0,49364.0,35616.0,,0.0,,25680.0,16434.0,,,0.0,0.0,0.0,17288.0,,,8497.0,0.0,28164.0,33543.0,,563540.0,190366.0,368053.0,41482.0,0.0,119958.0,,32.0,5203.0,,,255063.0,240821.0,,14242.0,19025.0,,52387.0,,,0.0,49943.0,0.0,0.0,,-13394.0,0.0,0.0,,,,,,-18786.0,49943.0,-1.045e-05,-45973.0,-50664.0,3.0,513597.0,44811.0,,67116.0,4777.0,0.0,,,,0.0,38719.0,0.0,,,,-1.045e-05
2009-03-31,548237.0,107570.0,949.0,0.0,55357.0,33083.0,,0.0,,15118.0,0.0,,,0.0,-175.0,0.0,16453.0,,,8226.0,0.0,28164.0,33543.0,,548237.0,215006.0,358414.0,39090.0,873.0,148562.0,,32.0,4632.0,,,216049.0,203119.0,,12930.0,12772.0,,53136.0,,,-1.0,49333.0,0.0,0.0,,-14003.0,-1.0,0.0,,,,,,-1526.0,49334.0,-8.000000000000001e-07,-23171.0,-4041.0,1.0,498903.0,42795.0,,73808.0,4706.0,0.0,,,,0.0,17760.0,0.0,,,,-8.000000000000001e-07
2009-06-30,540899.0,105771.0,1299.0,0.0,53223.0,32448.0,,0.0,,15565.0,0.0,,,0.0,-1019.0,0.0,19832.0,,,8025.0,0.0,28164.0,33543.0,,540898.0,206065.0,314322.0,40404.0,9211.0,131143.0,,32.0,5010.0,,,187720.0,177647.0,,10073.0,13499.0,,55111.0,,,-1.0,69752.0,0.0,0.0,,6416.0,-1.0,0.0,,,,,,9191.0,69753.0,5.649999999999999e-06,-26718.0,27634.0,0.0,471145.0,43613.0,,76660.0,3598.0,0.0,,,,0.0,18255.0,0.0,,,,5.649999999999999e-06
