,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1,Receita Bruta de Vendas e/ou Serviços,Deduções da Receita Bruta,Receita Líquida de Vendas e/ou Serviços,Custo de Bens e/ou Serviços Vendidos,Resultado Bruto,Despesas Com Vendas,Despesas Gerais e Administrativas,Perdas pela Não Recuperabilidade de Ativos ,Outras Receitas Operacionais,Outras Despesas Operacionais,Resultado da Equivalência Patrimonial,Financeiras,Receitas Financeiras,Despesas Financeiras,Resultado Não Operacional,Receitas,Despesas,Resultado Antes Tributação/Participações,Provisão para IR e Contribuição Social,IR Diferido,Participações/Contribuições Estatutárias,Reversão dos Juros sobre Capital Próprio,Part. de Acionistas Não Controladores,Lucro/Prejuízo do Período
2016-12-31,28327999.488,13761000.447999999,3241999.872,0.0,5336000.0,4751000.063999999,0.0,280000.0,41000.0,111000.0,3304999.936,0.0,235000.0,128000.0,0.0,0.0,158000.0,16000.0,0.0,2768000.0,155000.0,8940999.68,2166000.128,0.0,28327999.488,13320999.935999999,589000.0,8007000.063999999,369000.0,645000.0,0.0,0.0,3707000.064,4000.0,0.0,6558000.128,3393999.872,0.0,143000.0,399000.0,0.0,2608000.0,0.0,14000.0,948000.0,7500999.936000002,4055000.064,384000.0,0.0,3060999.936,0.0,1000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,25920000.0,11137999.872000001,775000.0,91000.0,5095000.063999999,4611999.744,0.0,277000.0,131000.0,157000.0,3328999.936,0.0,150000.0,143000.0,0.0,0.0,118000.0,0.0,0.0,2918000.128,161000.0,9128999.936,2163000.0640000002,0.0,25920000.0,11523000.32,489000.0,4992000.0,291000.0,2196000.0,0.0,0.0,3551000.064,4000.0,0.0,5749000.192000001,2566000.128,0.0,104000.0,444000.0,0.0,2620999.9359999998,0.0,14000.0,986000.0,7661999.488,4055000.064,384000.0,0.0,3060999.936,161000.0,1000.0,0.0,0.0,0.0,0.0,0.0,11877999.615999999,-9507999.743999999,2369999.872,0.0,-1808000.0,0.0,2000.0,-19000.0,0.0,-211000.0,139000.0,-350000.0,0.0,0.0,0.0,334000.0,-49000.0,-86000.0,0.0,0.0,-38000.0,161000.0
2017-06-30,27506999.296,12474999.808,1296999.936,231000.0,5319000.063999999,4768000.0,0.0,439000.0,116000.0,305000.0,3263000.064,0.0,36000.0,161000.0,0.0,0.0,146000.0,0.0,0.0,2920000.0,161000.0,9434999.808,2172999.9359999998,0.0,27506999.296,13527000.064000001,570000.0,6105999.872,297000.0,3004000.0,0.0,0.0,3545999.872,4000.0,0.0,5054000.1280000005,1804000.0,0.0,113000.0,484000.0,0.0,2640000.0,0.0,13000.0,971000.0,7955000.128,6055000.063999999,396000.0,0.0,1061000.0,440000.0,3000.0,0.0,0.0,0.0,0.0,0.0,12298999.808,-9811999.743999999,2487000.0640000002,0.0,-1826000.0,0.0,-72000.0,0.0,-1000.0,-216000.0,299000.0,-515000.0,0.0,0.0,0.0,372000.0,-63000.0,-10000.0,0.0,0.0,-20000.0,279000.0
2017-09-30,28270999.551999997,12005000.192,773000.0,188000.0,5678000.128,4679000.063999999,0.0,468000.0,73000.0,146000.0,4256999.936000001,0.0,85000.0,181000.0,0.0,0.0,226000.0,0.0,0.0,3764999.936,212000.0,9614000.127999999,2183000.0640000002,0.0,28270999.551999997,11836999.68,662000.0,5607000.063999999,518000.0,1624999.936,0.0,0.0,3420999.936,4000.0,0.0,3896000.0,437000.0,0.0,101000.0,506000.0,0.0,2839000.064,0.0,13000.0,990000.0,11548000.384000001,7599000.063999999,1882000.0,0.0,1061000.0,1002000.0,4000.0,0.0,0.0,0.0,0.0,0.0,12385999.872000001,-9832999.936,2552999.9359999998,0.0,-1883000.064,0.0,401000.0,0.0,0.0,-168000.0,-55000.0,-113000.0,0.0,0.0,0.0,903000.0,-381000.0,59000.0,0.0,0.0,-19000.0,562000.0
2017-12-31,33877999.616,16757999.615999999,4803999.744,6000.0,6297999.872,4999000.063999999,0.0,377000.0,48000.0,226000.0,4790000.1280000005,0.0,271000.0,229000.0,0.0,0.0,352000.0,0.0,0.0,3937999.872,497000.0,9596999.68,2236000.0,0.0,33877999.616,16284000.256,588000.0,9409999.872000001,410000.0,1460999.936,0.0,0.0,4415000.063999999,0.0,0.0,4454000.1280000005,1016000.0,0.0,130000.0,502000.0,0.0,2790000.128,0.0,16000.0,995000.0,12144999.744,7599000.063999999,1884999.936,0.0,2657999.872,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,13717004.287999999,-10869999.615999999,2847000.5760000004,0.0,-1904999.936,0.0,-62000.0,19000.0,1000.0,-65000.0,39000.0,-104000.0,0.0,0.0,0.0,834999.936,-329000.0,128000.0,0.0,0.0,-37000.0,597000.064
2018-03-31,31118999.551999997,13660999.68,1635000.064,7000.0,6271000.063999999,4998000.1280000005,0.0,398000.0,167000.0,185000.0,5079000.063999999,0.0,275000.0,211000.0,0.0,0.0,538000.0,0.0,0.0,4055000.064,494000.0,9653000.192,2232000.0,0.0,31118999.551999997,13678999.552000001,590000.0,6658999.807999999,286000.0,2000999.936,0.0,0.0,4143000.064,0.0,0.0,4169999.872,516000.0,0.0,110000.0,498000.0,0.0,3022000.128,0.0,24000.0,943000.0,12326999.615999999,7608000.0,1888000.0,0.0,2657999.872,170000.0,3000.0,0.0,0.0,0.0,0.0,0.0,12544000.0,-10000000.0,2544000.0,0.0,-1888000.0,0.0,-62000.0,0.0,0.0,-83000.0,45000.0,-128000.0,0.0,0.0,0.0,511000.0,-195000.0,16000.0,0.0,0.0,-52000.0,280000.0
2018-06-30,32003999.744000003,14165000.192,1899000.064,413000.0,6352999.936000001,4918000.1280000005,0.0,403000.0,143000.0,36000.0,5208999.936000001,273000.0,0.0,0.0,249000.0,0.0,0.0,547000.0,20000.0,0.0,492000.0,9902000.127999999,2236000.0,0.0,32003999.744000003,12561000.447999999,580000.0,6410999.807999999,372000.0,1002000.0,0.0,0.0,4196000.0,0.0,0.0,5944999.936000001,1500000.0,0.0,821000.0,512000.0,0.0,3088000.0,0.0,24000.0,972000.0,12526000.384000001,7608999.936000001,1890000.0,0.0,2464999.9359999998,559000.0,3000.0,0.0,0.0,0.0,0.0,0.0,13059999.744,-10385000.447999999,2675000.0640000002,0.0,-1931000.064,0.0,-33000.0,0.0,0.0,-55000.0,81000.0,-136000.0,0.0,0.0,0.0,656000.0,-212000.0,-4000.0,0.0,0.0,-51000.0,389000.0
2018-09-30,32180000.768000003,13914999.808,1376000.0,60000.0,6776000.0,5177999.8719999995,0.0,399000.0,100000.0,26000.0,5442999.807999999,230000.0,0.0,0.0,292000.0,0.0,0.0,570000.0,17000.0,0.0,490000.0,10087000.064,2244999.9359999998,0.0,32180000.768000003,12378000.384000001,686000.0,6168999.936000001,410000.0,985000.0,0.0,0.0,4128000.0,0.0,0.0,6023000.063999999,1500000.0,0.0,782000.0,514000.0,0.0,3206000.128,0.0,21000.0,1009000.0,12770000.32,7618999.807999999,1891000.064,0.0,2343000.0640000002,914000.0,3000.0,0.0,0.0,0.0,0.0,0.0,13484999.68,-10712999.936,2772000.0,0.0,-1976000.0,0.0,-59000.0,0.0,0.0,-120000.0,33000.0,-153000.0,0.0,0.0,0.0,617000.0,-245000.0,20000.0,0.0,0.0,-37000.0,355000.0
2018-12-31,36677001.216,17898000.384,4647000.063999999,286000.0,7167000.063999999,5132000.256,0.0,399000.0,60000.0,207000.0,5529999.872,9000.0,0.0,0.0,323000.0,0.0,0.0,485000.0,20000.0,0.0,491000.0,10471999.488,2286000.128,0.0,36677001.216,16746000.384000001,651000.0,10423000.064,525000.0,17000.0,0.0,0.0,5129999.8719999995,0.0,0.0,5884000.256,1896000.0,0.0,448000.0,473000.0,0.0,3047000.064,0.0,20000.0,1014000.0,13032999.552000001,7626999.807999999,1892000.0,0.0,3512999.936,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,15177998.336,-11788001.28,3390000.128,0.0,-2175999.488,0.0,-138000.0,0.0,-1000.0,-103000.0,20000.0,-123000.0,0.0,0.0,0.0,972000.0,-228000.0,-45000.0,0.0,0.0,-63000.0,636000.0
2019-03-31,35656998.912,15546999.808,747000.0,295000.0,7525000.192000001,6216999.936000001,0.0,413000.0,145000.0,205000.0,5821000.192000001,6000.0,0.0,359000.0,0.0,0.0,3126000.128,13000.0,0.0,2316999.9359999998,490000.0,11523000.32,2276000.0,0.0,35656998.912,14448000.0,624000.0,7592000.0,274000.0,894000.0,0.0,0.0,5064000.0,0.0,0.0,6650999.807999999,2619000.0640000002,0.0,503000.0,444000.0,0.0,3064999.936,0.0,20000.0,1078000.0,13480000.127999999,7629000.192000001,1892999.936,0.0,3512999.936,441000.0,4000.0,0.0,0.0,0.0,0.0,0.0,13642000.384000001,-10773000.192,2868999.936,0.0,-2080999.936,0.0,52000.0,0.0,0.0,-117000.0,42000.0,-159000.0,0.0,0.0,0.0,723000.0,-200000.0,-18000.0,0.0,0.0,-64000.0,441000.0
