,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2006-03-31,585281.0,358599.0,29975.0,0.0,93576.0,-22536.0,94651.0,0.0,,220059.0,0.0,,,,,,,76534.5,,,,14307.0,29400.0,,585281.0,336856.0,0.0,89302.0,0.0,230190.0,,,419.0,,,84116.0,84116.0,,0.0,17936.0,,48588.0,,,,67419.0,30366.0,0.0,0.0,,38019.0,,0.0,,
2007-03-31,1124730.0,795641.0,314948.0,0.0,167310.0,-41740.0,135233.0,0.0,,312006.0,0.0,,,,,,,76534.5,,,,15482.0,29400.0,,1124730.0,222891.0,0.0,99619.0,0.0,97643.0,,,18.0,,,592377.0,592377.0,,0.0,52854.0,,30429.0,,,,199378.0,26801.0,7888.0,0.0,,169971.0,,0.0,,
2007-06-30,1006200.0,701481.0,189781.0,0.0,188203.0,-43410.0,148418.0,0.0,,287594.0,0.0,,,,,,,76534.5,,,,18325.0,18729.0,,1006200.0,199635.0,0.0,72848.0,0.0,82815.0,,,15264.0,,,541091.0,541091.0,,0.0,0.0,,73532.0,,,,165934.0,26008.0,10378.0,0.0,,147205.0,,0.0,,
2007-09-30,1364128.0,1045579.0,462602.0,0.0,216646.0,-31083.0,165756.0,39349.0,,301106.0,0.0,,,,,,,76534.5,,,,19670.0,88729.0,,1364128.0,241788.0,0.0,126116.0,0.0,61351.0,,,19916.0,,,500264.0,500264.0,,0.0,0.0,,71825.0,,,,524360.0,25891.0,-3531.0,0.0,,435631.0,,0.0,,
2007-12-31,1359006.0,949408.0,376446.0,0.0,192866.0,-41158.0,202266.0,852.0,,337830.0,0.0,,,,,,,75000.0,,,,36049.0,88729.0,,1359006.0,259536.0,0.0,138593.0,0.0,62678.0,,,22216.0,,,466776.0,466776.0,,0.0,54958.0,,21710.0,,,,530109.0,25917.0,4137.0,0.0,,441309.0,,0.0,,
2008-03-31,1439399.0,1010233.0,359959.0,0.0,225815.0,-38565.0,52176.0,0.0,,333659.0,0.0,,,,,,,76534.5,,,,23754.0,88729.0,,1439399.0,235075.0,95859.0,127712.0,0.0,65109.0,,,8946.0,,,572199.0,572199.0,,0.0,54697.0,,21683.0,,,,530107.0,25638.0,444.0,0.0,,441307.0,,0.0,,
2008-06-30,1561463.0,1049446.0,251320.0,0.0,342450.0,-51397.0,52346.0,0.0,,389626.0,0.0,,,,,,,76534.5,,,,32161.0,88729.0,,1561463.0,380271.0,106916.0,166170.0,0.0,165337.0,,,5345.0,,,535099.0,535099.0,,0.0,54048.0,,21991.0,,,,549691.0,20363.0,10811.0,0.0,,460659.0,,0.0,,
2008-09-30,2087347.0,1362300.0,565522.0,0.0,274788.0,-54230.0,64967.0,0.0,,547707.0,0.0,,,,,,,76534.5,,,,35313.0,88729.0,,2087347.0,585079.0,131504.0,185748.0,0.0,185756.0,,,177643.0,,,905322.0,905322.0,,0.0,59344.0,,23751.0,,,,494493.0,19358.0,-10638.0,0.0,,405461.0,,0.0,,
2008-12-31,1988904.0,1180178.0,466540.0,0.0,217034.0,-43890.0,60690.0,0.0,,669936.0,0.0,,,,,,,74820.0,,,,30006.0,88729.0,,1988904.0,565546.0,143009.0,140708.0,0.0,357840.0,,,36992.0,,,1052083.0,1052083.0,,0.0,45320.0,,23070.0,,,,285056.0,17829.0,767.0,0.0,,196449.0,,0.0,,
2009-03-31,1990118.0,1167667.0,456060.0,0.0,229384.0,-51033.0,54291.0,649.0,,686374.0,0.0,,,,,,,76350.82,,,,22153.0,88729.0,,1990118.0,569248.0,241753.0,151853.0,0.0,392192.0,,,2755.0,,,1049705.0,1049705.0,,0.0,33972.0,,23478.0,,,,313715.0,0.0,258.0,0.0,,226730.0,,-1615.0,,
