,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2011-12-31,258200.992,125946.0,12131.0,323.0,77833.0,22144.0,0.0,1508.0,5674.0,6333.0,54927.0,0.0,0.0,33022.0,0.0,0.0,4428.0,526.0,0.0,16951.0,704.0,75994.0,630.0,0.0,258200.992,53301.0,4556.0,8425.0,15974.0,1535.0,0.0,7905.0,14906.0,0.0,0.0,9161.0,5688.0,0.0,84.0,0.0,0.0,3389.0,0.0,0.0,0.0,195739.008,29699.0,0.0,0.0,166040.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,265466.0,130973.0,6309.0,0.0,84606.0,22890.0,0.0,1091.0,7659.0,8418.0,57250.0,0.0,0.0,32477.0,0.0,0.0,4267.0,306.0,0.0,20200.0,704.0,75929.0,610.0,0.0,265466.0,176762.0,5186.0,11035.0,10536.0,1131.0,0.0,134972.992,13901.008000000002,0.0,0.0,8997.0,5394.0,0.0,14.0,0.0,0.0,3589.0,0.0,0.0,0.0,79707.0,59800.0,0.0,0.0,19907.0,0.0,0.0,0.0,0.0,0.0
2012-06-30,399785.984,265266.0,133538.0,0.0,90440.0,22800.0,0.0,2734.0,6322.0,9432.0,54686.0,0.0,0.0,29867.0,0.0,0.0,6052.0,245.0,0.0,18522.0,404.0,75733.0,3697.0,0.0,399785.984,183827.008,5914.0,11838.0,8736.0,5129.0,0.0,133279.0,18931.0,0.0,0.0,5281.0,1115.0,0.0,0.0,0.0,0.0,4166.0,0.0,0.0,0.0,210678.0,187708.992,-2658.0,0.0,5939.0,19688.0,0.0,0.0,0.0,0.0
2012-09-30,282996.0,149954.0,19966.0,0.0,87361.0,21916.0,0.0,4090.0,4174.0,12447.0,52724.0,0.0,0.0,26211.0,0.0,0.0,8194.0,225.0,0.0,18094.0,404.0,76244.0,3670.0,0.0,282996.0,54642.0,6684.0,11919.0,10321.0,5127.0,0.0,1937.0,18654.0,0.0,0.0,5432.0,835.0,0.0,0.0,0.0,0.0,4597.0,0.0,0.0,0.0,222922.0,187708.992,-2658.0,0.0,5939.0,31932.0,0.0,0.0,0.0,0.0
2012-12-31,274219.00800000003,136104.992,28719.0,0.0,77732.0,19296.0,0.0,3104.0,1868.0,5386.0,41025.0,0.0,0.0,15476.0,0.0,0.0,6734.0,251.0,0.0,18564.0,404.0,78373.0,18312.0,0.0,274219.00800000003,46367.0,4507.0,6698.0,4961.0,5128.0,0.0,10014.0,15059.0,0.0,0.0,5722.0,557.0,0.0,0.0,0.0,0.0,5165.0,0.0,0.0,0.0,222130.0,187708.992,-2658.0,0.0,37079.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,287784.99199999997,147666.0,39854.0,0.0,72764.0,21683.0,0.0,191.0,6572.0,6602.0,40002.0,0.0,0.0,13437.0,0.0,0.0,7905.0,156.0,0.0,18504.0,82.0,78294.0,21741.0,0.0,287784.99199999997,53492.0,5313.0,8493.0,6403.0,5215.0,0.0,7990.0,20078.0,0.0,0.0,5938.0,279.0,0.0,0.0,0.0,0.0,5659.0,0.0,0.0,0.0,228355.008,187708.992,-2658.0,0.0,37079.0,6225.0,0.0,0.0,0.0,0.0
2013-06-30,254474.0,114767.0,14132.0,0.0,64778.0,22657.0,0.0,271.0,4664.0,8265.0,40678.0,0.0,0.0,12504.0,0.0,0.0,10572.0,94.0,0.0,17508.0,82.0,77204.0,21743.0,0.0,254474.0,40449.0,7046.0,9683.0,4178.0,1216.0,0.0,0.0,18326.0,0.0,0.0,5505.0,0.0,0.0,0.0,0.0,0.0,5505.0,0.0,0.0,0.0,208520.0,187708.992,-2658.0,0.0,13045.0,10424.0,0.0,0.0,0.0,0.0
2013-09-30,263428.0,124493.0,24093.0,0.0,65675.0,23646.0,0.0,190.0,3071.0,7818.0,40524.0,0.0,0.0,11174.0,0.0,0.0,12432.0,72.0,0.0,16846.0,82.0,76812.0,21517.0,0.0,263428.0,46048.0,8424.0,7804.0,4382.0,836.0,0.0,0.0,24602.0,0.0,0.0,5989.0,0.0,0.0,0.0,0.0,0.0,5989.0,0.0,0.0,0.0,211391.008,187708.992,-2658.0,0.0,13045.0,13295.0,0.0,0.0,0.0,0.0
2013-12-31,256886.0,114385.0,11629.0,0.0,65342.0,23304.0,0.0,6230.0,2386.0,5494.0,39541.0,0.0,0.0,9369.0,0.0,0.0,9481.0,88.0,0.0,20603.0,82.0,81758.0,21120.0,0.0,256886.0,46427.0,5983.0,6311.0,4636.0,557.0,0.0,5889.0,23051.0,0.0,0.0,5156.0,0.0,0.0,0.0,0.0,0.0,5156.0,0.0,0.0,0.0,205303.008,187708.992,-2658.0,0.0,20252.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,269872.0,124154.0,20973.0,0.0,62636.0,24129.0,0.0,4173.0,5219.0,7024.0,42416.0,0.0,0.0,9144.0,0.0,0.0,11165.0,0.0,0.0,22107.0,82.0,82631.0,20589.0,0.0,269872.0,54640.0,6706.0,11734.0,4045.0,279.0,0.0,5889.0,25987.0,0.0,0.0,5250.0,0.0,0.0,0.0,0.0,0.0,5250.0,0.0,0.0,0.0,209982.0,187708.992,-2658.0,0.0,20252.0,4679.0,0.0,0.0,0.0,0.0
