,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2003-03-31,3871439.0,193197.0,85.0,,105013.0,,,42188.0,3891.0,1371.0,0.0,,,,274870.0,,,21494.0,15319.0,,133135.0,-0.00026785,0.0,,3871439.0,371554.0,0.0,124228.0,69658.0,0.0,167168.0,174.0,0.0,0.0,,70234.0,1133840.0,,0.0,0.0,,47702.0,,,,2226615.0,-0.00026785,1153807.0,,0.0,2106614.0,1133840.0,,0.0,
2003-06-30,3831498.0,194626.0,146.0,,88755.0,,,37918.0,1945.0,873.0,0.0,,,,252295.0,,,21809.0,14952.0,,135858.0,0.00061328,0.0,,3831498.0,307237.0,0.0,41742.0,84171.0,0.0,93964.0,163.0,0.0,0.0,,49649.0,1112338.0,,0.0,0.0,,56387.0,,,,2284078.0,0.00061328,1153852.0,,0.0,2164077.0,1112338.0,,0.0,
2003-09-30,3798196.0,171698.0,394.0,,81368.0,,,48139.0,0.0,1006.0,0.0,,,,252637.0,,,21909.0,14690.0,,97004.0,0.00023917,0.0,,3798196.0,247138.0,0.0,14742.0,90974.0,0.0,130295.0,184.0,0.0,0.0,,28651.0,1162420.0,,0.0,0.0,,61591.0,,,,2276487.0,0.00023917,1154348.0,,0.0,2156486.0,1162420.0,,0.0,
2003-12-31,3783336.0,202573.0,3050.0,,108641.0,,,20933.0,4736.0,823.0,0.0,,,,251708.0,,,90115.0,13848.0,,100771.0,0.00032809,0.0,,3783336.0,277161.0,0.0,17415.0,68907.0,0.0,123603.0,51592.0,81411.0,0.0,,14246.0,1083828.0,,0.0,0.0,,62168.0,,,,2255818.0,0.00032809,1154348.0,,0.0,2135817.0,1083828.0,,0.0,
2004-03-31,3774700.0,220881.0,3334.0,,97816.0,,,28575.0,3157.0,3330.0,0.0,,,,244089.0,,,17022.0,13311.0,,105226.0,7.645e-05,0.0,,3774700.0,260463.0,0.0,16193.0,54156.0,0.0,142069.0,51591.0,0.0,0.0,,14118.0,1157507.0,,0.0,0.0,,62609.0,,,,2262981.0,7.645e-05,1152040.0,,0.0,2142980.0,1157507.0,,0.0,
2004-06-30,3720283.0,194083.0,5249.0,,91942.0,,,32153.0,1673.0,3711.0,0.0,,,,239601.0,,,17423.0,12579.0,,110736.0,-3.92e-06,0.0,,3720283.0,201015.0,0.0,16458.0,39068.0,0.0,153295.0,217.0,51410.0,0.0,,11433.0,1173285.0,,0.0,0.0,,54513.0,,,,2262614.0,-3.92e-06,1152193.0,,0.0,2142613.0,1173285.0,,0.0,
2004-09-30,3708376.0,210430.0,1996.0,,102348.0,,,20257.0,47.0,882.0,0.0,,,,236719.0,,,17814.0,11497.0,,112537.0,0.00025416,0.0,,3708376.0,186137.0,0.0,15420.0,23130.0,0.0,135870.0,216.0,0.0,0.0,,10731.0,1175664.0,,0.0,0.0,,31602.0,,,,2286428.0,0.00025416,1152194.0,,0.0,2166427.0,1175664.0,,0.0,
2004-12-31,3703409.0,253954.0,3917.0,,97395.0,,,29319.0,4927.0,757.0,0.0,,,,217460.0,,,61822.0,11279.0,,114922.0,0.00017076,0.0,,3703409.0,219693.0,0.0,23109.0,6544.0,0.0,149436.0,44496.0,46610.0,0.0,,10270.0,1121105.0,,0.0,0.0,,32371.0,,,,2258148.0,0.00017076,1152466.0,,0.0,2138147.0,1121105.0,,0.0,
2005-03-31,3693596.0,280653.0,3857.0,,90065.0,,,28798.0,3201.0,903.0,0.0,,,,214295.0,,,52447.0,11392.0,,118712.0,0.00013246,0.0,,3693596.0,215800.0,0.0,13121.0,11769.0,0.0,135953.0,44494.0,0.0,0.0,,9706.0,1112184.0,,16377.0,0.0,,32900.0,,,,2270559.0,0.00013246,1152557.0,,0.0,2150558.0,1112184.0,,0.0,
2005-06-30,3662441.0,286383.0,5890.0,,90018.0,,,49100.0,1617.0,857.0,0.0,,,,199825.0,,,45296.0,11511.0,,121741.0,0.00037659,0.0,,3662441.0,229458.0,0.0,13768.0,21013.0,0.0,94930.0,47513.0,443192.0,0.0,,8966.0,1087454.0,,-348.0,0.0,,32922.0,,,,2258345.0,0.00037659,1136765.0,,0.0,2138344.0,1087454.0,,0.0,
