,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2008-03-31,1924952.0,479270.0,46788.0,-2704.0,178257.0,123870.0,,11152.0,18676.0,-68764.0,183391.0,,,,,,0.0,223666.0,21744.0,-12510.0,19569.0,104890.0,0.0,,1924952.0,347430.0,11839.0,44374.0,0.0,88170.0,,0.0,1206640.0,,33805.0,0.0,182563.0,,705224.0,0.0,,2372.0,182563.0,,,687363.0,28273.0,145932.0,,270733.0,2671.0,0.0,,,
2008-06-30,2376192.0,995473.0,45561.0,-21234.0,218965.0,125208.0,,15158.0,11942.0,-82086.0,184641.0,,,,,,0.0,267249.0,20266.0,52826.0,18433.0,105107.0,0.0,,2376192.0,314564.0,14816.0,48880.0,0.0,63356.0,,0.0,1139319.0,,35443.0,-2901.0,167737.0,,565095.0,0.0,,2361.0,167737.0,,,1326435.0,28273.0,108738.0,,231093.0,4025.0,0.0,,,
2008-09-30,3441125.0,1044054.0,105144.0,-16069.0,355773.0,173927.0,,34187.0,7863.0,-135902.0,222614.0,,,,,,0.0,386049.0,18995.0,-149178.0,903061.0,145803.0,0.0,,3441125.0,415384.0,33226.0,66667.0,0.0,54710.0,,0.0,1129908.0,,41413.0,9145.0,262634.0,,666843.0,0.0,,9951.0,262634.0,,,2086313.0,32579.0,139093.0,,317344.0,13144.0,0.0,,,
2008-12-31,3565389.0,1045698.0,123070.0,-8131.0,492196.0,210130.0,,166631.0,8149.0,-161189.0,209025.0,,,,,,0.0,456030.0,6558.0,-213227.0,296.0,138371.0,0.0,,3565389.0,644083.0,27476.0,86462.0,0.0,248840.0,,0.0,0.0,,57062.0,7729.0,195520.0,,779211.0,0.0,,30047.0,195520.0,,,1916528.0,32139.0,114944.0,,444360.0,18833.0,0.0,,,
2009-03-31,3600816.0,1078872.0,2138012.0,-5644.0,426423.0,206495.0,,156671.0,9489.0,-104807.0,210581.0,,,,,,0.0,384731.0,5871.0,63399.0,296.0,136534.0,0.0,,3600816.0,702832.0,26650.0,60737.0,0.0,361385.0,,0.0,0.0,,64681.0,9877.0,86964.0,,788649.0,0.0,,29535.0,86964.0,,,1992836.0,32172.0,114326.0,,448349.0,24191.0,0.0,,,
2009-06-30,3629883.0,1098953.0,2135087.0,-36725.0,399988.0,197074.0,,134706.0,22428.0,-149730.0,213613.0,,,,,,0.0,423072.0,12790.0,151469.0,296.0,135694.0,0.0,,3629883.0,783990.0,29923.0,100558.0,0.0,328939.0,,0.0,0.0,,57434.0,11343.0,140212.0,,543001.0,0.0,,23112.0,140212.0,,,2139568.0,33699.0,189300.0,,469151.0,27487.0,0.0,,,
2009-09-30,4349074.0,1808817.0,2133705.0,-39360.0,457860.0,228149.0,,189617.0,23011.0,-125876.0,215456.0,,,,,,0.0,498034.0,11004.0,134548.0,287.0,137382.0,0.0,,4349074.0,743030.0,38384.0,141239.0,0.0,209937.0,,0.0,0.0,,78465.0,20488.0,255225.0,,632967.0,0.0,,26222.0,255225.0,,,2691630.0,33949.0,189955.0,,465162.0,35653.0,0.0,,,
2009-12-31,6287484.927999999,1841264.0,499279.008,0.0,724630.016,319492.0,0.0,0.0,0.0,297863.00800000003,314792.99199999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314792.99199999997,287.0,295539.00800000003,3835052.0319999997,550.0,6287484.927999999,1296728.064,0.0,120477.0,78700.0,401520.992,0.0,27685.0,668345.024,0.0,0.0,1553447.04,398048.992,0.0,1115441.024,0.0,0.0,39957.0,0.0,0.0,0.0,3437309.952,2555552.0,792876.9920000001,0.0,88881.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,6671661.056,2050758.0159999998,641921.9839999999,0.0,633260.032,328971.00800000003,0.0,0.0,0.0,446604.992,312480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312480.0,287.0,296732.0,4010946.048,458.0,6671661.056,1210126.976,0.0,141120.0,65329.0,366647.008,0.0,0.0,637030.976,0.0,0.0,1931587.968,682821.0079999999,0.0,1208121.9840000002,0.0,0.0,40645.0,0.0,0.0,0.0,3529946.1119999997,2555552.0,795761.984,0.0,116566.0,62066.0,0.0,0.0,0.0,0.0
2010-06-30,8468878.848,3066574.08,1436216.96,0.0,696974.9759999999,420160.0,0.0,0.0,0.0,513222.016,317536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317536.0,273.0,412611.008,4671495.1680000005,390.0,8468878.848,1307949.952,0.0,182564.0,68193.0,253097.0,0.0,0.0,804096.0,0.0,0.0,2206234.1119999997,888959.0079999999,6372.0,1269255.04,0.0,0.0,41648.0,0.0,0.0,0.0,4954695.1680000005,3168195.0719999997,1554608.0,0.0,116566.0,115326.0,0.0,0.0,0.0,0.0
